platform,server,uid,rid,dataUnix,num,totalMoney
ADR,5,0|52,0|52|0|05|1,1571431359,5,385
ADR,24,2|1428,2|1428|2|24|0,1571432109,6,306
IOS,2,0|2722,0|2722|0|02|1,1571432589,0,0
IOS,20,2|204,2|204|2|20|1,1571432619,5,395
IOS_YY,1,0|45,0|45|0|01|1,1571433339,4,152
IOS_YY,12,1|2551,1|2551|1|12|1,1571433699,2,2
IOS_YY,2,0|1444,0|1444|0|02|0,1571433759,0,0
IOS_YY,0,0|2622,0|2622|0|00|1,1571433909,9,639
IOS_YY,3,0|1941,0|1941|0|03|0,1571433999,6,462
IOS_YY,15,1|2565,1|2565|1|15|0,1571434569,2,154
ADR,25,2|1365,2|1365|2|25|0,1571434959,3,159
IOS,24,2|2664,2|2664|2|24|0,1571435079,8,248
ADR,11,1|2694,1|2694|1|11|0,1571437029,4,120
IOS,14,1|2191,1|2191|1|14|0,1571437479,1,96
H5,20,2|654,2|654|2|20|0,1571437569,4,160
IOS_YY,3,0|1266,0|1266|0|03|1,1571438109,3,30
IOS_YY,3,0|2641,0|2641|0|03|1,1571438799,1,39
ADR,11,1|2528,1|2528|1|11|0,1571440029,0,0
H5,12,1|2606,1|2606|1|12|0,1571440509,7,140
IOS,15,1|1279,1|1279|1|15|1,1571440779,5,15
H5,21,2|2210,2|2210|2|21|1,1571440869,3,156
IOS,2,0|1646,0|1646|0|02|1,1571441499,6,6
H5,12,1|1407,1|1407|1|12|0,1571441799,2,8
H5,20,2|263,2|263|2|20|0,1571442429,6,444
H5,13,1|2867,1|2867|1|13|0,1571442789,5,410
IOS_YY,21,2|86,2|86|2|21|1,1571442849,3,294
IOS_YY,20,2|986,2|986|2|20|1,1571443119,6,588
IOS_YY,5,0|2526,0|2526|0|05|0,1571443449,3,93
H5,23,2|632,2|632|2|23|1,1571443599,2,106
IOS_YY,21,2|2610,2|2610|2|21|0,1571443839,5,200
IOS_YY,10,1|416,1|416|1|10|0,1571444079,9,711
IOS_YY,0,0|2127,0|2127|0|00|1,1571444109,6,570
IOS_YY,0,0|1607,0|1607|0|00|1,1571444439,3,75
ADR,22,2|736,2|736|2|22|0,1571444619,8,72
H5,10,1|2912,1|2912|1|10|0,1571444979,9,378
IOS_YY,14,1|1383,1|1383|1|14|1,1571445939,0,0
ADR,12,1|1589,1|1589|1|12|1,1571445969,7,609
ADR,13,1|1628,1|1628|1|13|1,1571446359,6,72
ADR,5,0|1751,0|1751|0|05|1,1571447259,9,477
H5,0,0|1170,0|1170|0|00|1,1571447319,9,513
ADR,0,0|2453,0|2453|0|00|0,1571447769,3,63
IOS,25,2|948,2|948|2|25|0,1571447979,4,208
IOS,10,1|201,1|201|1|10|0,1571448339,6,432
IOS_YY,10,1|355,1|355|1|10|0,1571449089,4,140
IOS_YY,14,1|395,1|395|1|14|0,1571449299,0,0
IOS_YY,25,2|1342,2|1342|2|25|1,1571449329,6,570
H5,21,2|874,2|874|2|21|0,1571449749,8,544
H5,1,0|930,0|930|0|01|1,1571450019,6,522
H5,4,0|1801,0|1801|0|04|0,1571450259,8,640
H5,15,1|297_84,1|297_84|1|15|0,1571450319,1,35
ADR,1,0|2259,0|2259|0|01|0,1571450739,8,472
IOS,4,0|264,0|264|0|04|0,1571451789,7,14
IOS_YY,24,2|1065,2|1065|2|24|1,1571451849,5,325
IOS,1,0|1418,0|1418|0|01|0,1571452089,1,49
H5,1,0|2544,0|2544|0|01|1,1571452329,5,75
IOS,25,2|148_14,2|148_14|2|25|0,1571452419,0,0
IOS_YY,5,0|1876,0|1876|0|05|1,1571452809,4,164
ADR,15,1|1714,1|1714|1|15|1,1571453079,9,891
IOS,0,0|1435,0|1435|0|00|1,1571453439,7,623
IOS,13,1|2823,1|2823|1|13|1,1571453589,1,42
ADR,15,1|2968,1|2968|1|15|1,1571454039,4,148
ADR,25,2|2575,2|2575|2|25|1,1571454339,7,35
H5,24,2|2042,2|2042|2|24|1,1571454369,6,336
H5,0,0|548,0|548|0|00|0,1571454849,7,553
IOS,21,2|987,2|987|2|21|0,1571455239,8,16
IOS,11,1|1696,1|1696|1|11|1,1571455449,8,208
ADR,23,2|1121,2|1121|2|23|0,1571456529,7,532
IOS_YY,20,2|2861,2|2861|2|20|0,1571457069,9,693
IOS_YY,4,0|2350,0|2350|0|04|0,1571457699,9,450
IOS_YY,23,2|1813,2|1813|2|23|0,1571458299,9,396
IOS_YY,23,2|2233,2|2233|2|23|0,1571458689,1,57
H5,10,1|158,1|158|1|10|0,1571458779,3,33
ADR,5,0|903,0|903|0|05|1,1571459229,5,220
IOS,1,0|2648,0|2648|0|01|1,1571459679,1,98
ADR,3,0|1850,0|1850|0|03|1,1571460369,6,288
ADR,20,2|1991,2|1991|2|20|0,1571460579,4,68
IOS_YY,0,0|738,0|738|0|00|1,1571460789,4,152
ADR,0,0|1318,0|1318|0|00|1,1571461029,0,0
IOS_YY,22,2|1826,2|1826|2|22|1,1571461419,5,395
ADR,4,0|488,0|488|0|04|1,1571461509,7,490
ADR,10,1|1555,1|1555|1|10|0,1571462439,0,0
IOS_YY,2,0|404,0|404|0|02|0,1571462709,8,376
IOS,0,0|1122,0|1122|0|00|1,1571463399,6,24
H5,13,1|1915,1|1915|1|13|0,1571463519,0,0
IOS,24,2|1938,2|1938|2|24|0,1571463549,8,504
IOS_YY,11,1|2817,1|2817|1|11|0,1571463609,7,511
IOS,2,0|1231_22,0|1231_22|0|02|0,1571464119,5,250
H5,3,0|1189,0|1189|0|03|1,1571464179,6,144
IOS_YY,4,0|227,0|227|0|04|0,1571464299,5,330
IOS,10,1|227,1|227|1|10|1,1571464569,9,36
IOS,25,2|2787,2|2787|2|25|1,1571464779,1,68
H5,11,1|2366,1|2366|1|11|1,1571464899,3,24
IOS_YY,2,0|67,0|67|0|02|0,1571465379,2,190
ADR,2,0|303,0|303|0|02|1,1571465979,2,108
IOS_YY,15,1|622,1|622|1|15|1,1571466039,8,568
IOS,13,1|576,1|576|1|13|1,1571466069,8,128
IOS,10,1|1952,1|1952|1|10|0,1571466309,5,425
IOS,23,2|488,2|488|2|23|1,1571466579,8,0
H5,15,1|2629,1|2629|1|15|1,1571467359,2,68
IOS_YY,20,2|55,2|55|2|20|1,1571467449,6,366
H5,24,2|2525,2|2525|2|24|1,1571468469,0,0
H5,23,2|2985,2|2985|2|23|1,1571468859,5,490
IOS_YY,1,0|927,0|927|0|01|0,1571468949,3,51
IOS_YY,1,0|1421,0|1421|0|01|1,1571469159,5,45
IOS,0,0|1827,0|1827|0|00|1,1571469759,7,301
IOS,10,1|510,1|510|1|10|1,1571469789,8,264
IOS,21,2|410,2|410|2|21|1,1571469849,2,188
ADR,21,2|171,2|171|2|21|0,1571470299,5,135
IOS,25,2|924_214,2|924_214|2|25|0,1571470569,3,27
H5,1,0|1923,0|1923|0|01|0,1571471439,3,171
H5,14,1|2036,1|2036|1|14|0,1571472279,4,364
IOS_YY,24,2|936,2|936|2|24|0,1571472459,3,264
H5,11,1|2801,1|2801|1|11|0,1571472489,8,376
ADR,0,0|22,0|22|0|00|1,1571472699,0,0
ADR,23,2|2856,2|2856|2|23|0,1571473179,1,46
H5,1,0|474,0|474|0|01|0,1571473839,0,0
H5,24,2|2656,2|2656|2|24|0,1571474349,0,0
IOS,4,0|2993,0|2993|0|04|1,1571474469,3,90
IOS_YY,21,2|2276,2|2276|2|21|0,1571474499,5,405
IOS,12,1|1882,1|1882|1|12|0,1571474559,4,108
H5,23,2|1469,2|1469|2|23|0,1571474589,1,78
IOS,21,2|1383,2|1383|2|21|0,1571474979,2,62
H5,1,0|1601,0|1601|0|01|1,1571475039,6,492
H5,20,2|1079,2|1079|2|20|1,1571475249,7,126
IOS,15,1|1864,1|1864|1|15|1,1571475459,3,252
IOS,3,0|862,0|862|0|03|0,1571475669,8,464
IOS,14,1|617,1|617|1|14|0,1571475999,7,336
IOS,3,0|2597,0|2597|0|03|0,1571476209,1,34
H5,5,0|2701,0|2701|0|05|0,1571476239,7,658
ADR,2,0|1125,0|1125|0|02|0,1571476869,1,3
IOS_YY,1,0|883_131,0|883_131|0|01|1,1571476899,7,679
ADR,3,0|543,0|543|0|03|0,1571476929,9,513
IOS,1,0|303,0|303|0|01|0,1571477169,3,96
IOS,14,1|1289,1|1289|1|14|0,1571477289,2,82
H5,3,0|1144,0|1144|0|03|0,1571477379,0,0
ADR,10,1|759,1|759|1|10|1,1571477469,4,200
IOS,13,1|455,1|455|1|13|0,1571477799,5,115
IOS_YY,15,1|2464,1|2464|1|15|0,1571477949,0,0
IOS_YY,13,1|1627,1|1627|1|13|0,1571478039,6,432
IOS,0,0|381,0|381|0|00|1,1571478639,4,380
ADR,4,0|1729,0|1729|0|04|0,1571478729,0,0
IOS_YY,21,2|2570,2|2570|2|21|0,1571478879,5,160
IOS_YY,20,2|1255,2|1255|2|20|0,1571479149,4,236
H5,1,0|2693,0|2693|0|01|1,1571479239,9,18
IOS,4,0|2753,0|2753|0|04|1,1571479749,7,637
H5,13,1|1868,1|1868|1|13|1,1571480019,3,213
H5,13,1|2289,1|2289|1|13|1,1571480469,7,553
ADR,1,0|701,0|701|0|01|0,1571480829,3,3
IOS_YY,0,0|1422,0|1422|0|00|0,1571481189,4,144
ADR,24,2|2072,2|2072|2|24|1,1571481219,4,40
ADR,11,1|2036,1|2036|1|11|0,1571481519,0,0
IOS_YY,0,0|1648,0|1648|0|00|0,1571481549,8,384
H5,4,0|1478,0|1478|0|04|0,1571481789,2,78
IOS,11,1|564,1|564|1|11|1,1571482149,4,144
H5,25,2|805,2|805|2|25|1,1571482389,4,48
H5,1,0|2075,0|2075|0|01|1,1571482449,7,273
IOS_YY,25,2|25,2|25|2|25|0,1571482629,4,212
IOS,23,2|821,2|821|2|23|1,1571483979,0,0
H5,1,0|1434,0|1434|0|01|1,1571484399,0,0
H5,10,1|1817,1|1817|1|10|1,1571485059,7,133
IOS_YY,4,0|73,0|73|0|04|0,1571486019,5,90
IOS,12,1|1552,1|1552|1|12|1,1571486259,5,200
H5,10,1|490,1|490|1|10|0,1571486409,0,0
IOS_YY,5,0|319,0|319|0|05|0,1571487489,0,0
IOS,2,0|1843,0|1843|0|02|0,1571488149,9,468
H5,5,0|1905,0|1905|0|05|1,1571488509,5,130
IOS_YY,22,2|404,2|404|2|22|1,1571488659,5,310
IOS_YY,15,1|2491,1|2491|1|15|0,1571488809,2,172
ADR,24,2|1727,2|1727|2|24|0,1571489049,8,352
IOS_YY,13,1|1287,1|1287|1|13|1,1571489529,4,232
H5,20,2|2872,2|2872|2|20|0,1571490309,6,276
H5,22,2|956,2|956|2|22|0,1571490489,5,200
H5,1,0|43,0|43|0|01|0,1571490519,6,492
ADR,4,0|779,0|779|0|04|0,1571491029,6,462
ADR,13,1|1086,1|1086|1|13|1,1571491179,4,84
ADR,24,2|2043,2|2043|2|24|1,1571491479,2,22
IOS,3,0|1824,0|1824|0|03|0,1571491599,0,0
IOS,1,0|827,0|827|0|01|1,1571492199,2,12
ADR,24,2|2871,2|2871|2|24|0,1571492469,7,567
IOS,4,0|1169,0|1169|0|04|0,1571492679,5,90
IOS,15,1|1788,1|1788|1|15|1,1571492709,8,264
H5,15,1|288,1|288|1|15|1,1571493009,4,100
H5,23,2|1225_151,2|1225_151|2|23|1,1571493189,4,32
IOS,13,1|496_233,1|496_233|1|13|0,1571493279,8,616
ADR,12,1|1876,1|1876|1|12|0,1571493909,4,244
IOS,20,2|2869,2|2869|2|20|0,1571494089,9,279
IOS,3,0|2530,0|2530|0|03|1,1571494209,4,196
ADR,22,2|1018,2|1018|2|22|0,1571494329,6,276
IOS_YY,10,1|1772,1|1772|1|10|0,1571495379,4,316
ADR,24,2|2631,2|2631|2|24|0,1571495499,6,438
IOS_YY,23,2|2664,2|2664|2|23|0,1571496369,7,595
IOS,4,0|1332,0|1332|0|04|0,1571496429,1,89
IOS,13,1|1165,1|1165|1|13|1,1571496669,5,145
H5,3,0|1446,0|1446|0|03|0,1571497029,3,210
IOS,4,0|619,0|619|0|04|0,1571497539,8,88
ADR,21,2|1476_289,2|1476_289|2|21|1,1571498439,3,252
IOS_YY,13,1|290,1|290|1|13|1,1571498739,5,265
IOS,10,1|1894,1|1894|1|10|1,1571499609,8,432
IOS,4,0|2613,0|2613|0|04|1,1571499789,7,595
IOS,20,2|541,2|541|2|20|0,1571499819,0,0
IOS_YY,25,2|472,2|472|2|25|1,1571500269,2,34
IOS,24,2|1307,2|1307|2|24|1,1571500299,4,376
IOS_YY,13,1|264,1|264|1|13|0,1571414469,5,100
IOS_YY,0,0|2248,0|2248|0|00|1,1571414709,7,203
H5,1,0|745,0|745|0|01|0,1571415099,8,8
IOS_YY,3,0|63,0|63|0|03|0,1571415579,6,24
IOS_YY,3,0|1767_81,0|1767_81|0|03|1,1571416839,7,637
IOS_YY,25,2|45_35,2|45_35|2|25|0,1571417259,7,399
H5,2,0|718,0|718|0|02|1,1571417499,8,488
ADR,20,2|312,2|312|2|20|0,1571417589,4,344
H5,10,1|2849,1|2849|1|10|0,1571417859,7,210
IOS,23,2|1513,2|1513|2|23|1,1571417889,8,592
ADR,14,1|1826,1|1826|1|14|0,1571418669,7,476
H5,15,1|2458,1|2458|1|15|0,1571418699,4,284
IOS,3,0|1381,0|1381|0|03|0,1571419599,0,0
IOS,11,1|2638,1|2638|1|11|0,1571419659,4,324
IOS,22,2|1893,2|1893|2|22|0,1571419779,3,90
ADR,2,0|2992,0|2992|0|02|1,1571419959,4,268
IOS_YY,15,1|1960_289,1|1960_289|1|15|1,1571420199,2,166
ADR,15,1|341,1|341|1|15|1,1571420439,3,57
IOS_YY,4,0|810,0|810|0|04|0,1571420799,5,150
IOS,24,2|14,2|14|2|24|1,1571421009,3,216
IOS_YY,2,0|2621,0|2621|0|02|1,1571421249,7,469
ADR,4,0|1086,0|1086|0|04|1,1571421519,5,425
H5,1,0|1419,0|1419|0|01|1,1571421639,3,144
ADR,11,1|2965,1|2965|1|11|1,1571421699,1,89
IOS_YY,24,2|2856,2|2856|2|24|0,1571422299,5,55
H5,10,1|1014,1|1014|1|10|1,1571422479,6,84
IOS,0,0|2398,0|2398|0|00|0,1571422779,6,204
ADR,2,0|529,0|529|0|02|0,1571423259,0,0
IOS_YY,1,0|2573,0|2573|0|01|0,1571423289,1,49
ADR,22,2|1318,2|1318|2|22|1,1571424519,4,340
ADR,5,0|2892,0|2892|0|05|0,1571425239,6,564
IOS,1,0|2374,0|2374|0|01|0,1571425569,9,63
H5,23,2|2327,2|2327|2|23|1,1571425869,1,56
H5,12,1|830,1|830|1|12|1,1571426469,3,3
IOS_YY,0,0|2803,0|2803|0|00|1,1571427099,9,0
IOS,11,1|2205,1|2205|1|11|0,1571427639,8,128
IOS,15,1|1921,1|1921|1|15|0,1571427759,1,90
H5,0,0|2739,0|2739|0|00|1,1571428059,6,468
ADR,24,2|1405,2|1405|2|24|1,1571428179,1,82
H5,25,2|1627,2|1627|2|25|0,1571428269,5,265
H5,12,1|2037,1|2037|1|12|0,1571428599,8,248
IOS_YY,2,0|1809,0|1809|0|02|1,1571429049,8,48
ADR,4,0|1887,0|1887|0|04|0,1571430339,2,194
ADR,21,2|1939,2|1939|2|21|0,1571431419,2,170
ADR,12,1|2686,1|2686|1|12|1,1571432049,4,216
IOS_YY,20,2|2757,2|2757|2|20|1,1571432169,5,135
IOS,12,1|261,1|261|1|12|0,1571432259,2,106
IOS_YY,11,1|1585,1|1585|1|11|1,1571432469,2,154
H5,2,0|2457,0|2457|0|02|0,1571434599,6,234
IOS,22,2|1463_83,2|1463_83|2|22|0,1571434719,3,54
H5,24,2|2999,2|2999|2|24|0,1571435049,0,0
ADR,12,1|2946,1|2946|1|12|0,1571435829,0,0
H5,24,2|196,2|196|2|24|0,1571435859,2,52
IOS_YY,13,1|198,1|198|1|13|1,1571436129,2,108
H5,23,2|1657,2|1657|2|23|0,1571436159,5,210
IOS_YY,25,2|2703,2|2703|2|25|1,1571436369,9,747
H5,5,0|1368,0|1368|0|05|1,1571437419,0,0
ADR,24,2|255,2|255|2|24|1,1571437869,3,15
IOS_YY,13,1|1824,1|1824|1|13|0,1571438259,7,91
IOS,0,0|81,0|81|0|00|0,1571438619,1,9
H5,12,1|571,1|571|1|12|0,1571439159,6,288
H5,15,1|1797_1,1|1797_1|1|15|1,1571439669,5,65
H5,14,1|1452,1|1452|1|14|1,1571439759,1,13
ADR,5,0|139,0|139|0|05|0,1571440179,1,7
ADR,13,1|666,1|666|1|13|0,1571440839,5,50
IOS,14,1|1437,1|1437|1|14|0,1571443269,3,162
ADR,4,0|195,0|195|0|04|0,1571444469,1,82
ADR,20,2|1688,2|1688|2|20|1,1571444499,7,693
IOS,15,1|1197,1|1197|1|15|0,1571444529,3,18
ADR,5,0|1478_128,0|1478_128|0|05|1,1571445759,7,672
IOS,1,0|2033,0|2033|0|01|1,1571446749,0,0
ADR,10,1|2417,1|2417|1|10|1,1571447169,4,396
IOS,3,0|139,0|139|0|03|0,1571447289,3,288
H5,11,1|2724,1|2724|1|11|0,1571447379,5,435
IOS_YY,5,0|156,0|156|0|05|1,1571447439,8,704
ADR,25,2|1176,2|1176|2|25|1,1571447529,5,435
IOS_YY,14,1|2643,1|2643|1|14|0,1571449059,0,0
H5,11,1|2432,1|2432|1|11|0,1571449689,9,594
IOS,4,0|2138,0|2138|0|04|1,1571449869,3,99
IOS,1,0|830,0|830|0|01|1,1571449989,2,130
ADR,10,1|1993,1|1993|1|10|1,1571450349,9,675
H5,5,0|2784,0|2784|0|05|1,1571450979,5,450
IOS,22,2|826,2|826|2|22|0,1571451369,6,354
IOS_YY,1,0|1844,0|1844|0|01|1,1571451579,8,104
IOS,13,1|2970,1|2970|1|13|1,1571451939,2,80
H5,20,2|877,2|877|2|20|0,1571452149,7,406
IOS_YY,11,1|2079,1|2079|1|11|1,1571452269,7,644
IOS,0,0|2469,0|2469|0|00|0,1571452929,6,156
H5,12,1|2795,1|2795|1|12|1,1571453499,6,498
H5,1,0|584,0|584|0|01|0,1571453769,5,360
IOS_YY,4,0|2192,0|2192|0|04|0,1571453889,8,512
IOS_YY,12,1|1847,1|1847|1|12|1,1571454099,0,0
IOS,2,0|2858,0|2858|0|02|0,1571454429,1,34
IOS,24,2|1408,2|1408|2|24|0,1571454609,0,0
H5,14,1|1747,1|1747|1|14|0,1571454669,7,35
ADR,12,1|2571,1|2571|1|12|0,1571454759,8,736
IOS,21,2|412,2|412|2|21|0,1571454819,8,736
H5,13,1|661,1|661|1|13|0,1571455209,0,0
ADR,10,1|958,1|958|1|10|0,1571455299,7,329
ADR,25,2|1426,2|1426|2|25|0,1571455959,5,440
IOS,20,2|2153,2|2153|2|20|0,1571456739,7,336
ADR,10,1|312,1|312|1|10|1,1571456859,6,72
H5,25,2|831,2|831|2|25|0,1571457849,7,602
IOS_YY,23,2|399,2|399|2|23|1,1571457939,4,8
IOS_YY,23,2|1302,2|1302|2|23|1,1571458749,0,0
IOS_YY,25,2|2768,2|2768|2|25|1,1571459829,0,0
IOS_YY,1,0|1401,0|1401|0|01|1,1571459919,1,17
IOS_YY,1,0|733,0|733|0|01|1,1571460219,5,465
IOS_YY,25,2|2754,2|2754|2|25|0,1571460459,5,140
IOS,20,2|2453,2|2453|2|20|1,1571460729,8,280
ADR,23,2|36,2|36|2|23|0,1571460909,9,765
ADR,14,1|2128,1|2128|1|14|1,1571461389,7,147
H5,21,2|204,2|204|2|21|1,1571461539,3,93
ADR,0,0|2753,0|2753|0|00|0,1571461629,6,198
ADR,11,1|1756,1|1756|1|11|1,1571461749,6,588
H5,22,2|2901,2|2901|2|22|1,1571462049,8,416
H5,12,1|2084,1|2084|1|12|0,1571462409,5,495
IOS_YY,14,1|241,1|241|1|14|1,1571462859,1,16
IOS_YY,21,2|1565,2|1565|2|21|0,1571463069,7,539
ADR,0,0|330,0|330|0|00|1,1571463249,8,256
ADR,5,0|2370,0|2370|0|05|1,1571463669,3,195
IOS_YY,24,2|408,2|408|2|24|0,1571464539,3,3
IOS,4,0|178,0|178|0|04|1,1571464659,6,234
IOS_YY,20,2|44,2|44|2|20|0,1571465409,2,54
ADR,11,1|1121,1|1121|1|11|1,1571466009,4,164
IOS,24,2|2258,2|2258|2|24|0,1571466549,3,90
IOS_YY,23,2|722,2|722|2|23|0,1571466639,3,24
IOS,5,0|2689,0|2689|0|05|1,1571466969,6,288
ADR,20,2|2575,2|2575|2|20|0,1571468199,8,16
IOS_YY,2,0|2486,0|2486|0|02|0,1571468769,4,132
ADR,24,2|316,2|316|2|24|1,1571469069,1,8
H5,11,1|1245,1|1245|1|11|1,1571469339,0,0
IOS_YY,25,2|1184,2|1184|2|25|0,1571470089,6,378
H5,12,1|2968,1|2968|1|12|1,1571470239,8,72
IOS_YY,0,0|52,0|52|0|00|1,1571471259,6,66
IOS_YY,13,1|838,1|838|1|13|1,1571471469,9,108
IOS_YY,1,0|778_41,0|778_41|0|01|1,1571471649,3,87
H5,25,2|2739,2|2739|2|25|0,1571472249,2,34
H5,5,0|545,0|545|0|05|0,1571472969,5,365
ADR,15,1|931,1|931|1|15|0,1571473119,0,0
IOS_YY,23,2|2858,2|2858|2|23|0,1571473599,7,602
ADR,11,1|117,1|117|1|11|1,1571473659,1,46
ADR,12,1|1825,1|1825|1|12|0,1571474199,8,96
IOS,25,2|2597,2|2597|2|25|1,1571474769,7,616
ADR,4,0|495,0|495|0|04|1,1571474799,3,294
ADR,5,0|151,0|151|0|05|0,1571475489,0,0
ADR,22,2|1953,2|1953|2|22|0,1571475819,3,225
IOS_YY,14,1|598,1|598|1|14|0,1571476119,8,0
H5,21,2|1394,2|1394|2|21|0,1571476149,0,0
H5,14,1|2181,1|2181|1|14|0,1571476179,5,300
IOS_YY,24,2|2492,2|2492|2|24|1,1571476569,5,465
H5,1,0|1197,0|1197|0|01|1,1571477019,0,0
H5,13,1|921,1|921|1|13|1,1571477499,4,240
IOS,24,2|1188,2|1188|2|24|0,1571478459,4,92
ADR,4,0|1022,0|1022|0|04|1,1571478489,4,384
H5,10,1|1913_231,1|1913_231|1|10|0,1571478789,6,408
IOS_YY,2,0|1402,0|1402|0|02|1,1571479779,6,12
IOS,15,1|2605,1|2605|1|15|0,1571480319,5,300
IOS_YY,25,2|845,2|845|2|25|0,1571481489,8,264
IOS_YY,13,1|587,1|587|1|13|1,1571481579,5,240
IOS,15,1|2673,1|2673|1|15|0,1571481819,3,204
IOS_YY,0,0|284_15,0|284_15|0|00|0,1571482269,7,651
ADR,4,0|1614,0|1614|0|04|0,1571482599,2,164
ADR,0,0|2010,0|2010|0|00|0,1571482809,3,249
IOS,14,1|1189,1|1189|1|14|1,1571482899,1,86
IOS_YY,15,1|315,1|315|1|15|1,1571482929,2,16
IOS,13,1|154,1|154|1|13|1,1571483379,1,98
IOS,23,2|1806,2|1806|2|23|1,1571484009,9,837
IOS_YY,0,0|205,0|205|0|00|0,1571484189,3,96
IOS_YY,23,2|2401,2|2401|2|23|1,1571484249,1,30
H5,23,2|1919,2|1919|2|23|1,1571484339,6,534
H5,0,0|326,0|326|0|00|0,1571484759,1,89
IOS,21,2|2316,2|2316|2|21|1,1571485149,2,112
IOS,13,1|2452,1|2452|1|13|1,1571485359,8,96
H5,5,0|1382_199,0|1382_199|0|05|0,1571485569,9,360
IOS,0,0|1061,0|1061|0|00|0,1571485599,6,336
ADR,0,0|1706,0|1706|0|00|0,1571486079,1,59
H5,3,0|2596,0|2596|0|03|1,1571486229,2,40
H5,24,2|1243,2|1243|2|24|1,1571486289,4,68
H5,3,0|215,0|215|0|03|1,1571487009,7,203
ADR,2,0|2818,0|2818|0|02|1,1571487729,5,125
H5,20,2|2465,2|2465|2|20|0,1571488119,1,22
IOS_YY,2,0|2332,0|2332|0|02|1,1571488239,7,210
H5,13,1|2903,1|2903|1|13|1,1571489289,0,0
H5,4,0|1033,0|1033|0|04|1,1571489349,9,621
ADR,25,2|22,2|22|2|25|0,1571489589,3,15
IOS_YY,14,1|12,1|12|1|14|0,1571490069,4,160
IOS_YY,0,0|1298,0|1298|0|00|1,1571490189,6,90
IOS,0,0|1677,0|1677|0|00|1,1571490399,9,297
IOS,12,1|2363,1|2363|1|12|1,1571490969,7,679
IOS,11,1|2526,1|2526|1|11|0,1571491269,8,112
IOS_YY,24,2|1444,2|1444|2|24|1,1571491299,8,424
IOS_YY,25,2|1364,2|1364|2|25|1,1571491419,8,744
IOS_YY,5,0|2307,0|2307|0|05|0,1571491659,7,427
