platform,server,uid,rid,dataUnix,payWay,orderId,money
ADR,4,0|759,0|759|0|04|0,1571434209,fling,63499e9a-645a-498f-8f82-630d1182557b,328
ADR,25,2|2916,2|2916|2|25|0,1571434269,fling,96e3d03b-5e2f-416f-a449-fa51cdf35990,328
IOS_YY,24,2|706,2|706|2|24|1,1571434329,fling,9ef49f61-4975-474f-8abc-59efd4f9675c,648
IOS_YY,20,2|1293,2|1293|2|20|0,1571434539,fling,ec38a53b-fae1-4899-9978-d1607b10e4be,328
H5,15,1|838,1|838|1|15|0,1571434749,fling,eca3d047-7809-4fbc-87eb-3176ecb4e0fe,198
IOS_YY,0,0|1393,0|1393|0|00|1,1571434869,fling,67b86833-4757-4c75-ac2c-f633335a67db,98
H5,11,1|1365,1|1365|1|11|0,1571434959,fling,a5bfe95f-7af4-4eaa-b36a-1d6dc24889e5,50
IOS,13,1|2176,1|2176|1|13|1,1571435109,fling,3270d8f4-f0e4-42d0-b273-173aaa220b4f,328
IOS_YY,3,0|1726,0|1726|0|03|1,1571435259,fling,e1230dc4-4064-4871-b37f-4a479a364ccf,198
H5,3,0|1322,0|1322|0|03|1,1571435379,fling,2828fd40-9fda-43c0-acab-1419dc997b31,198
ADR,12,1|1833,1|1833|1|12|0,1571436249,fling,5f744011-5f9e-4496-81ec-1800c3b6ccbb,648
IOS,20,2|2842,2|2842|2|20|1,1571436639,fling,4236909a-886d-48b5-80f2-daf71443ab81,98
ADR,13,1|1078,1|1078|1|13|0,1571437209,fling,13ca350a-5c18-4b9e-91d3-d5d4ac16f1ba,328
ADR,5,0|1104,0|1104|0|05|0,1571437359,fling,33894d85-88a7-4c5f-bee1-d2073bed0169,648
ADR,24,2|1375,2|1375|2|24|1,1571438769,fling,3a221060-0268-4f51-939e-bfa1a485a6c9,648
IOS,22,2|450_76,2|450_76|2|22|0,1571439099,fling,4ce4cbe1-1de0-45e9-a72a-956f66ff1e00,198
IOS,0,0|2645,0|2645|0|00|1,1571439399,fling,36fd914d-1c39-4d77-9cce-8235a68b3d89,98
IOS_YY,22,2|1711,2|1711|2|22|1,1571439909,fling,a73b30aa-a2c2-4fe8-9efa-275e5721340a,328
H5,20,2|2853,2|2853|2|20|0,1571440209,fling,640aecb6-f418-48ed-bf96-714b6be47e9d,328
ADR,3,0|548,0|548|0|03|1,1571440359,fling,c3a64a5d-16f5-456a-ba2e-127b0f62b52d,198
H5,4,0|905,0|905|0|04|0,1571440479,fling,fdb4787f-f7a7-4bf1-a93e-0e83e041d4dd,98
IOS_YY,3,0|2373,0|2373|0|03|0,1571440719,fling,7647de81-2bec-4422-a425-3c431a0d9a9b,198
IOS,1,0|2174,0|2174|0|01|1,1571441169,fling,5b8acbc0-7e45-465c-a81c-3dccb87c9da0,198
IOS_YY,23,2|790,2|790|2|23|1,1571441469,fling,20353668-8c44-4a4b-b49e-e618902b1c97,328
IOS_YY,1,0|770,0|770|0|01|0,1571441949,fling,182788b3-330a-4e7a-b4f2-b3386180a0a9,198
IOS,12,1|263,1|263|1|12|0,1571442429,fling,6863db2a-d079-4bc5-9185-0a7e31df607b,648
H5,5,0|67,0|67|0|05|1,1571442489,fling,7f331761-f143-4a00-8dba-d35669771a3b,328
IOS,10,1|1251,1|1251|1|10|1,1571442579,fling,12e0eaa0-7ca4-4f45-9e86-bfba9d57ca7c,198
IOS_YY,23,2|2867,2|2867|2|23|0,1571442789,fling,bd377314-eecc-410b-b4fc-7cd2f09a0c33,648
H5,11,1|2668,1|2668|1|11|0,1571443059,fling,3e226a26-7047-4c5a-83b9-8d3a27a98cda,328
IOS,1,0|1396,0|1396|0|01|1,1571443779,fling,e3a179dc-e867-4338-b717-302866f6d4d8,198
IOS_YY,25,2|1742,2|1742|2|25|0,1571443869,fling,e9da7057-5f48-459e-90cb-e1a1c77c7d8d,30
H5,20,2|2319,2|2319|2|20|0,1571444379,fling,c1fb263d-885e-4d06-831c-968cef42cfa6,198
IOS,0,0|2875,0|2875|0|00|1,1571444859,fling,5a7f23d1-bb19-4ce4-a0c5-7ef19d591874,328
IOS_YY,4,0|2701,0|2701|0|04|0,1571444919,fling,025efcee-f56c-4b3c-bdd4-485772d6d4fb,328
IOS,5,0|1165,0|1165|0|05|0,1571445039,fling,5bce6250-10f2-4610-aa53-37c784f085b8,98
IOS,22,2|2732,2|2732|2|22|1,1571445129,fling,9d080151-e9dc-4288-b083-0059e394ae1a,98
IOS_YY,25,2|1624,2|1624|2|25|1,1571445489,fling,720f6eeb-bedf-49d4-8e98-2c5aea1347a0,328
ADR,20,2|1478_128,2|1478_128|2|20|1,1571445759,fling,d427024d-328b-4f20-a8b6-3166b3620db4,328
IOS_YY,11,1|1383,1|1383|1|11|1,1571445939,fling,45d62b81-da9f-4c18-bd93-d880f049d0a8,50
IOS,22,2|1314,2|1314|2|22|0,1571446239,fling,2a83929d-5d7c-400c-b47a-dd121c2837e0,50
IOS,3,0|2303,0|2303|0|03|1,1571447409,fling,fbea2f99-cbff-4452-b3f7-3760a99117ad,328
IOS,24,2|969_46,2|969_46|2|24|0,1571447619,fling,25d46616-3e5c-4cd5-b274-afd8b515c2df,328
IOS_YY,25,2|156,2|156|2|25|0,1571448489,fling,99e8aa90-f8dd-4724-a51b-d5c881753315,648
IOS,11,1|2131,1|2131|1|11|1,1571448639,fling,f1078815-a52c-4927-9f09-118a0ef13f9f,198
IOS_YY,13,1|209,1|209|1|13|1,1571448909,fling,6b385619-f2b2-4acf-8522-4f4ee48b2718,328
IOS_YY,0,0|831,0|831|0|00|0,1571449239,fling,b6d12ed9-bd96-4d46-a041-5dfe7aba3aa8,30
ADR,21,2|86_279,2|86_279|2|21|1,1571449479,fling,cdfd05eb-d692-49b2-9e7b-35bef3a57a57,328
ADR,1,0|726,0|726|0|01|0,1571449629,fling,cae119f8-3caf-4d7c-811c-419fdf45a9b0,648
IOS_YY,10,1|970,1|970|1|10|1,1571450049,fling,b5f26ed0-0372-430a-878d-46a3c694bf1e,328
H5,11,1|1241,1|1241|1|11|0,1571450859,fling,95ca4b13-7566-44da-b34f-4759c4c3c95e,648
IOS,0,0|136,0|136|0|00|0,1571451519,fling,91366f07-c33b-4af1-a977-913164839e41,198
IOS,23,2|662,2|662|2|23|0,1571451549,fling,a79617c6-e788-411f-87a8-58c198e446cc,328
ADR,13,1|742,1|742|1|13|1,1571451759,fling,d8972362-16c9-466a-bfc7-5315e657e3bb,328
H5,0,0|264,0|264|0|00|0,1571451789,fling,34773ea7-8680-4ca8-adba-901ca41c151f,648
IOS_YY,11,1|2579,1|2579|1|11|1,1571451999,fling,a3db7816-6a5c-4cae-983c-5edbdd71722d,648
H5,2,0|2999,0|2999|0|02|1,1571452179,fling,d866a8ae-d1c1-42a8-ab0f-525255d1e1ff,198
ADR,13,1|1876,1|1876|1|13|1,1571452809,fling,505626a8-3466-42fe-a57a-bfcb0532eaad,198
H5,14,1|2415,1|2415|1|14|0,1571452839,fling,cd3567f5-1350-4862-b5d3-33d83d6e48ff,648
ADR,21,2|701,2|701|2|21|0,1571453049,fling,c8355156-416a-45bb-bb46-f7295d2387b4,328
IOS,12,1|1196,1|1196|1|12|1,1571453199,fling,5598d246-2225-436a-be56-d5d7048f3a84,648
IOS,2,0|1996,0|1996|0|02|0,1571453469,fling,ad74bce8-1c32-4a9d-9cd6-9ebb8995269a,328
H5,14,1|1725,1|1725|1|14|1,1571454249,fling,79ff3550-5e00-4f5b-b3a0-5b4cb490fd0c,648
H5,20,2|2858,2|2858|2|20|0,1571454429,fling,851af320-2621-4cfc-8160-ee980bb80dfa,328
ADR,5,0|2571,0|2571|0|05|1,1571455059,fling,d8c142c0-1253-44c4-aab5-fc42fb4ad40e,648
ADR,0,0|2861,0|2861|0|00|0,1571457069,fling,612ea3ed-8fae-4ef9-98ec-64337823098a,328
H5,21,2|2916,2|2916|2|21|0,1571457459,fling,fea094b6-02f6-4956-ae30-ee9a6986e824,648
IOS_YY,4,0|455,0|455|0|04|1,1571458389,fling,0f25698a-6965-484c-9338-e3a60c9ee931,98
H5,12,1|2835,1|2835|1|12|1,1571458419,fling,9ad3b5ab-7812-4039-a0a5-e3cc8e2c0416,328
IOS,20,2|1302,2|1302|2|20|1,1571458749,fling,d6f9a93e-add0-4db4-94b7-4e1cf69c9d75,328
IOS,20,2|1907,2|1907|2|20|0,1571459289,fling,defe2ac3-feda-4d6e-baaf-f60644ae72c0,648
IOS,20,2|393,2|393|2|20|0,1571459319,fling,6e939a8b-38f4-4a43-9338-113067091b5c,648
IOS,25,2|679,2|679|2|25|0,1571459499,fling,2d31ed6a-a55f-4d10-9a03-c4f6f1ae266d,50
H5,25,2|799,2|799|2|25|1,1571459889,fling,f28f3959-31a5-4641-b226-f2b2ccd34b52,198
ADR,23,2|2006,2|2006|2|23|0,1571461239,fling,0e7bb160-0c5e-40b5-89ea-1d9a178f9b4f,198
IOS_YY,11,1|1909,1|1909|1|11|1,1571461569,fling,538e111d-3c91-48d6-8a87-8243991e725b,198
ADR,15,1|1868,1|1868|1|15|0,1571461779,fling,bc277b11-e7f0-4fa8-8059-87e8382b0cd4,328
IOS,25,2|1890,2|1890|2|25|1,1571462199,fling,521c766e-06b2-40ea-94ff-06ce730a3950,98
IOS_YY,25,2|2542,2|2542|2|25|1,1571462949,fling,cb3b3f39-a303-4990-b072-12ff135067c2,328
ADR,11,1|1915,1|1915|1|11|0,1571463519,fling,5f686003-fb7e-4064-ae4e-9558e9412858,328
IOS,22,2|2817,2|2817|2|22|0,1571463609,fling,808efcee-b56a-4cbe-9d65-a4b0a98fe6c7,198
H5,5,0|1604,0|1604|0|05|1,1571463759,fling,19427579-7b19-40dd-a7b6-977d87a94006,198
H5,21,2|1877_228,2|1877_228|2|21|0,1571465709,fling,95e2bccb-65fe-41f0-b4eb-b93cb7530277,198
IOS_YY,10,1|982,1|982|1|10|0,1571466189,fling,bcdd0902-9afa-425d-bb64-47054f7a8bdc,328
H5,23,2|1236,2|1236|2|23|0,1571466489,fling,f1838858-fd1f-4a60-80ea-3818247de725,198
IOS_YY,5,0|193,0|193|0|05|0,1571466759,fling,967aab23-4a8b-4528-96ab-9599b9938920,198
H5,15,1|309,1|309|1|15|1,1571467059,fling,ff6d980a-90cb-49f6-94e3-e51c1e1e4a4f,30
IOS_YY,23,2|13,2|13|2|23|0,1571467989,fling,d5b1a785-8fa7-45b3-a86c-8a0379ec700c,198
H5,5,0|2748,0|2748|0|05|0,1571468319,fling,3dc721bd-bd96-4d7f-95ba-ffaeb0d261d4,648
IOS_YY,0,0|2631,0|2631|0|00|0,1571468409,fling,d4b62cf4-2160-4b5e-b337-8c7a5af5a936,98
ADR,0,0|2486,0|2486|0|00|0,1571468769,fling,df8a73fc-8904-41f3-bda0-f958c2a7ebf6,648
H5,11,1|196,1|196|1|11|0,1571468829,fling,942530b2-a94f-4114-8d27-237da6f8aa51,328
H5,12,1|1111,1|1111|1|12|1,1571469699,fling,490a43a7-99bb-4d16-8b3f-71ff7d29b80a,198
H5,24,2|2968,2|2968|2|24|1,1571470239,fling,2ac4fe95-9bd5-4f75-869a-41ee7301dcf7,198
H5,20,2|308,2|308|2|20|0,1571470539,fling,da83d635-41f6-4e85-a183-41e5fbefe5f5,648
IOS_YY,0,0|1531,0|1531|0|00|0,1571470629,fling,36ba74d3-78dd-47d1-a2e8-765bf9ec06c4,198
IOS,5,0|2167,0|2167|0|05|1,1571470659,fling,41c4fccf-fc05-424a-a87e-cd48fe72cfb3,198
IOS_YY,11,1|2175,1|2175|1|11|0,1571470839,fling,e7a89991-033f-425c-9653-c44b3f79b58c,328
IOS_YY,20,2|813,2|813|2|20|0,1571471289,fling,3d83beaf-5a19-445c-ab41-e20054919699,328
IOS_YY,1,0|1923,0|1923|0|01|0,1571471439,fling,778d74a2-02b5-438b-8f07-6f3d462e90e4,328
IOS_YY,15,1|2259,1|2259|1|15|1,1571471949,fling,01cd9ed9-9a1e-4a07-9463-4db2ecce0331,328
IOS_YY,15,1|1709,1|1709|1|15|0,1571473479,fling,c723f004-18a0-4b90-8956-54cce3185c6d,328
IOS_YY,3,0|2858,0|2858|0|03|0,1571473599,fling,aa068159-359f-4f60-b97f-b4eaf93a83a6,198
H5,21,2|1530,2|1530|2|21|0,1571473689,fling,43c9ba41-a04d-4f33-b5f6-1ad1d47f0352,198
IOS,25,2|474,2|474|2|25|0,1571473839,fling,d7c9ebf7-9861-4aa8-ac11-b96a3930fda9,328
IOS,21,2|1825,2|1825|2|21|0,1571474199,fling,f63d170d-407f-4fa8-9958-7b857952027b,98
ADR,15,1|2551,1|2551|1|15|1,1571474619,fling,9b9378c8-d5f3-460e-b891-5ad0c86f9b7b,328
H5,25,2|495,2|495|2|25|1,1571474799,fling,753703a4-2716-40fb-b9b7-05ac01ff4f02,198
H5,1,0|1915,0|1915|0|01|1,1571474829,fling,39b28022-8db0-496b-9855-64ce2a4f84e6,648
ADR,12,1|1302,1|1302|1|12|1,1571474919,fling,687b37be-c71c-4b1e-96d5-749f408f536e,30
H5,12,1|587,1|587|1|12|1,1571475069,fling,4c4eb042-2f98-4415-b08f-7ff6e21615dc,198
ADR,20,2|687,2|687|2|20|0,1571475159,fling,88dae59a-4fdc-4960-a2c7-85ae4c03e9f9,328
IOS,20,2|2046,2|2046|2|20|0,1571475189,fling,5dc5a0ce-3691-4f96-8061-9c6258517d4a,98
ADR,12,1|657,1|657|1|12|1,1571475279,fling,cfea41d9-c9ec-4764-b1fa-afe6af11cceb,198
ADR,1,0|1953,0|1953|0|01|0,1571475819,fling,2daf8775-9f7c-4ad8-b013-049d9814fbac,98
IOS_YY,1,0|2036,0|2036|0|01|0,1571476509,fling,bdd80530-3826-4a23-912f-593866246aa0,198
ADR,0,0|2492,0|2492|0|00|1,1571476569,fling,1714984a-3a4e-4566-a90d-2e70d6df496f,198
IOS,10,1|1205,1|1205|1|10|0,1571476659,fling,13af82bf-8eab-4a7a-850d-9fec7ff50596,648
IOS_YY,15,1|1446,1|1446|1|15|0,1571476809,fling,7512610d-342c-4623-af6a-8a47ea3ce3b9,648
ADR,20,2|2715,2|2715|2|20|0,1571476959,fling,6bc1e737-f596-4170-9f4d-c0fa8ece53e9,648
H5,10,1|1197,1|1197|1|10|1,1571477019,fling,a9ca95bb-7d58-42c5-8e31-834fb83270df,198
H5,5,0|1703,0|1703|0|05|0,1571477409,fling,87327e61-b46c-4a49-91ca-79397eada42c,198
ADR,25,2|759,2|759|2|25|1,1571477469,fling,7fbdffe4-9368-4495-be65-526221acdf5b,648
IOS,23,2|2907,2|2907|2|23|0,1571478279,fling,190245ac-5f18-4d35-940d-b09dd064cb9f,98
IOS,4,0|1130,0|1130|0|04|0,1571478849,fling,650f7576-9f25-495a-bc3d-ff7a2783cfd3,198
H5,13,1|2893,1|2893|1|13|0,1571479119,fling,039bbc75-d3f5-48ac-a680-77f62b0332bb,198
ADR,4,0|1861,0|1861|0|04|0,1571479209,fling,aa354aed-9801-4c61-bfc0-b6ba88d6273b,328
ADR,3,0|1338,0|1338|0|03|0,1571479959,fling,f80b1f15-c145-46bf-a88a-eca384b41e97,648
IOS,22,2|217,2|217|2|22|1,1571480349,fling,819b76d8-6c27-48b9-85f1-527f2ad1de3e,328
ADR,12,1|948,1|948|1|12|0,1571480409,fling,bb3e586b-c6a9-4c6f-952f-6647d0b9353e,328
H5,15,1|950,1|950|1|15|1,1571480619,fling,fe1a1cdd-952f-4747-871d-7f648447c9b1,198
IOS_YY,10,1|701,1|701|1|10|0,1571480829,fling,5cf9916d-96eb-43de-8990-6d1383617ecc,648
ADR,22,2|604_165,2|604_165|2|22|0,1571481099,fling,d04e18d6-62ac-457d-a043-a2345bf01a00,328
IOS_YY,0,0|2390,0|2390|0|00|1,1571481249,fling,dd2a1916-4e52-4756-91f0-b94c00d5333b,648
IOS,13,1|341,1|341|1|13|0,1571481699,fling,526232c8-2df1-4aec-affd-039a8e29177d,328
IOS_YY,15,1|807,1|807|1|15|1,1571482059,fling,fec53163-9055-43d1-8cb8-660e3a089218,648
H5,2,0|2212,0|2212|0|02|0,1571482209,fling,0a6f1f8d-c26f-44c1-a787-3b51c215e518,98
ADR,21,2|805,2|805|2|21|1,1571482389,fling,2966ab9e-034c-4f91-91b5-5d5cff0dce43,648
H5,20,2|1750,2|1750|2|20|1,1571482839,fling,50c93bfa-c953-4181-8d43-8b547458eb76,328
IOS_YY,11,1|1748,1|1748|1|11|0,1571483169,fling,ffefc4d7-9897-410c-8451-1ddc949a0b1a,648
H5,1,0|61,0|61|0|01|0,1571483439,fling,144feb2d-69a6-4ecc-b2af-4562d6a87afb,198
IOS_YY,23,2|1027,2|1027|2|23|1,1571483769,fling,f62d7433-10ce-4a53-96ff-ead787989f4b,328
IOS,4,0|1919,0|1919|0|04|1,1571484339,fling,43baaa8c-e73a-4d1a-b00e-07733db3c7a5,30
IOS,0,0|907,0|907|0|00|0,1571484429,fling,d4254bcf-bdd9-47f9-ac72-1147d7b01194,98
IOS_YY,0,0|1765,0|1765|0|00|0,1571484549,fling,37e1553c-c1b5-4445-accd-6eb8ce07a70e,328
ADR,2,0|1979,0|1979|0|02|0,1571484729,fling,f7f96afa-a71e-463a-a031-73cbfd0dfcc7,98
ADR,3,0|2452,0|2452|0|03|1,1571485359,fling,c1bc162c-6d67-4881-924b-128e7c5f82d4,198
IOS_YY,21,2|2836,2|2836|2|21|0,1571485449,fling,181e9f6b-487a-4f4b-89cd-1645cf48f6de,648
IOS_YY,3,0|1552,0|1552|0|03|1,1571486259,fling,9d6a022f-6d84-4055-aacc-93b486fee80a,98
IOS_YY,2,0|468,0|468|0|02|1,1571486739,fling,b0ca1d28-18d3-4858-b538-9de6839ad2d7,198
H5,14,1|2452,1|2452|1|14|0,1571486799,fling,b6621ada-890e-4842-a6b3-816a3bd7fe85,328
IOS_YY,14,1|1551,1|1551|1|14|1,1571487459,fling,75c1af77-dc6e-4ee2-a8e5-712fa0ad6f30,98
IOS,22,2|1589,2|1589|2|22|1,1571487579,fling,7309bbc1-7f41-483f-b81d-bf96ff13598f,648
H5,24,2|724,2|724|2|24|0,1571488419,fling,cbc588a4-afa9-42d7-998f-c9935d1b80ac,648
IOS,23,2|2566,2|2566|2|23|1,1571488779,fling,7713d4b2-ffb2-42cb-ab6e-5a38266a470a,328
ADR,20,2|745,2|745|2|20|1,1571489229,fling,9c199ff8-f415-4769-970e-db75be63ba5d,98
IOS,15,1|2508,1|2508|1|15|1,1571489259,fling,2954cbe8-ac6f-4f3e-a2cb-9852df36418b,648
IOS_YY,5,0|1033,0|1033|0|05|1,1571489349,fling,687d222b-16d1-4b26-b862-76cd92fdeb4f,198
H5,23,2|2097,2|2097|2|23|1,1571489469,fling,510712e8-f615-4315-9c03-0302576d6eb2,328
IOS,25,2|2267,2|2267|2|25|0,1571489559,fling,f4d2a179-759b-43d4-bfb4-944ef44543a8,198
IOS,24,2|1298,2|1298|2|24|1,1571490189,fling,f3611ced-902c-4395-b6fe-9947a0daea87,50
IOS_YY,11,1|1938,1|1938|1|11|1,1571490249,fling,1cfe4163-dcb8-4059-b9fe-2ed74cae1d57,648
IOS_YY,25,2|662,2|662|2|25|0,1571491059,fling,1b41a8ea-b5a6-4aac-85ef-ec2c25e080d4,328
H5,11,1|1763,1|1763|1|11|1,1571492289,fling,10955ab1-fbac-4eb0-bdcf-3c30da04ee49,198
IOS_YY,22,2|1539,2|1539|2|22|0,1571492499,fling,c637c323-b85f-4e98-9b37-309cdaa4e774,328
ADR,15,1|259,1|259|1|15|0,1571492829,fling,dfad3e95-4a16-461f-85f1-75fc05f27190,98
H5,5,0|1968,0|1968|0|05|1,1571493579,fling,80be3c42-f50b-4c8f-9dfd-95d6c451592f,98
IOS_YY,3,0|1576_129,0|1576_129|0|03|0,1571494629,fling,b9edaf63-9491-49e2-a7bc-9935e830d96f,648
IOS_YY,10,1|2192,1|2192|1|10|0,1571494779,fling,91e6f75a-d335-48a8-aeb9-ccf8a109c054,328
H5,23,2|1466,2|1466|2|23|0,1571494959,fling,186da574-81f9-4c7a-b89f-1466d68dab96,198
H5,25,2|1627,2|1627|2|25|1,1571495109,fling,cf92e063-e66c-4be3-9def-db271bd0d5e7,328
H5,2,0|2625,0|2625|0|02|0,1571495349,fling,9d1570c4-f425-499d-8350-cda674b75b68,328
ADR,2,0|861,0|861|0|02|1,1571496009,fling,ad129235-c024-4d62-b6c6-0374c4a7901e,198
IOS,4,0|2527,0|2527|0|04|0,1571496099,fling,ef4d6323-710f-4f9d-80b6-b339dda79d6e,50
H5,2,0|1446,0|1446|0|02|0,1571497029,fling,21f89e59-88b5-4373-91b1-a1961e36de9e,648
IOS_YY,12,1|2312,1|2312|1|12|1,1571497689,fling,645be570-3f68-496b-ac8e-efccce552fc6,98
ADR,11,1|689,1|689|1|11|1,1571497839,fling,64b9792d-7750-47c3-8644-c3e774a6c86a,328
