platform,server,uid,rid,dataUnix,status
ADR,12,1|1573,1|1573|1|12|1,1571648709,LOGIN
ADR,1,0|2372,0|2372|0|01|1,1571648859,LOGOUT
ADR,25,2|1050,2|1050|2|25|1,1571648949,LOGOUT
IOS_YY,15,1|111,1|111|1|15|0,1571649099,LOGIN
IOS_YY,21,2|1537,2|1537|2|21|1,1571649129,LOGIN
IOS,23,2|1370,2|1370|2|23|1,1571649159,LOGOUT
IOS,23,2|1370,2|1370|2|23|1,1571649159,LOGOUT
IOS_YY,5,0|456,0|456|0|05|1,1571649309,LOGOUT
IOS_YY,2,0|989,0|989|0|02|1,1571650419,LOGIN
IOS,21,2|1653,2|1653|2|21|1,1571650599,LOGOUT
ADR,0,0|1306,0|1306|0|00|0,1571650689,LOGIN
ADR,3,0|1888_117,0|1888_117|0|03|1,1571650719,LOGIN
IOS_YY,12,1|2856,1|2856|1|12|1,1571651289,LOGOUT
H5,15,1|304,1|304|1|15|1,1571651559,LOGOUT
ADR,24,2|2559,2|2559|2|24|1,1571651679,LOGOUT
ADR,12,1|1053,1|1053|1|12|0,1571652429,LOGIN
ADR,3,0|2312,0|2312|0|03|0,1571653239,LOGIN
ADR,3,0|2312,0|2312|0|03|0,1571653239,LOGIN
IOS_YY,12,1|184,1|184|1|12|1,1571653329,LOGIN
ADR,22,2|754,2|754|2|22|0,1571653839,LOGOUT
ADR,4,0|1750,0|1750|0|04|1,1571655099,LOGOUT
IOS,10,1|345_35,1|345_35|1|10|1,1571655819,LOGOUT
IOS,24,2|1577,2|1577|2|24|1,1571656149,LOGOUT
IOS,21,2|996_271,2|996_271|2|21|1,1571656179,LOGIN
H5,15,1|745,1|745|1|15|1,1571656779,LOGOUT
ADR,22,2|2712,2|2712|2|22|1,1571657049,LOGOUT
IOS,1,0|612,0|612|0|01|0,1571657979,LOGOUT
H5,0,0|479,0|479|0|00|1,1571658969,LOGOUT
ADR,15,1|1679,1|1679|1|15|1,1571659209,LOGIN
H5,20,2|1074,2|1074|2|20|0,1571659959,LOGIN
IOS,15,1|336,1|336|1|15|1,1571660199,LOGIN
IOS_YY,11,1|2828,1|2828|1|11|0,1571660499,LOGOUT
ADR,0,0|2634,0|2634|0|00|0,1571660649,LOGIN
ADR,13,1|2877,1|2877|1|13|1,1571660799,LOGOUT
IOS_YY,12,1|2281,1|2281|1|12|0,1571660889,LOGOUT
IOS,25,2|2399,2|2399|2|25|1,1571661279,LOGIN
ADR,12,1|418_50,1|418_50|1|12|0,1571661789,LOGOUT
IOS_YY,0,0|1336,0|1336|0|00|0,1571662539,LOGIN
ADR,3,0|1177,0|1177|0|03|0,1571662659,LOGIN
IOS_YY,13,1|2879,1|2879|1|13|0,1571662839,LOGIN
IOS_YY,25,2|739,2|739|2|25|0,1571662869,LOGIN
IOS_YY,1,0|2659,0|2659|0|01|0,1571663079,LOGOUT
H5,20,2|1685,2|1685|2|20|0,1571663199,LOGIN
ADR,5,0|2858,0|2858|0|05|1,1571663349,LOGOUT
ADR,22,2|776,2|776|2|22|0,1571663469,LOGIN
H5,10,1|2648,1|2648|1|10|1,1571663499,LOGIN
ADR,13,1|1184,1|1184|1|13|1,1571663979,LOGOUT
ADR,2,0|470,0|470|0|02|1,1571664009,LOGOUT
IOS,10,1|867,1|867|1|10|1,1571664519,LOGOUT
ADR,3,0|516,0|516|0|03|1,1571664579,LOGIN
IOS,13,1|521,1|521|1|13|0,1571664939,LOGOUT
IOS_YY,25,2|1406,2|1406|2|25|1,1571665119,LOGOUT
IOS_YY,22,2|1086,2|1086|2|22|0,1571665239,LOGOUT
IOS_YY,22,2|1086,2|1086|2|22|0,1571665239,LOGOUT
H5,25,2|441,2|441|2|25|1,1571665389,LOGIN
ADR,25,2|2673,2|2673|2|25|0,1571665449,LOGOUT
IOS_YY,5,0|216,0|216|0|05|0,1571665869,LOGOUT
IOS_YY,21,2|147,2|147|2|21|0,1571666379,LOGIN
IOS_YY,21,2|147,2|147|2|21|0,1571666379,LOGIN
H5,14,1|1442,1|1442|1|14|1,1571666529,LOGIN
IOS,20,2|2952,2|2952|2|20|0,1571666619,LOGIN
IOS_YY,2,0|361,0|361|0|02|0,1571667009,LOGOUT
IOS,25,2|2875,2|2875|2|25|1,1571667039,LOGOUT
ADR,24,2|1788,2|1788|2|24|1,1571667519,LOGOUT
IOS_YY,5,0|207_7,0|207_7|0|05|0,1571668659,LOGIN
IOS,24,2|2190,2|2190|2|24|1,1571669379,LOGOUT
H5,24,2|2952,2|2952|2|24|0,1571669979,LOGOUT
ADR,22,2|311,2|311|2|22|0,1571670099,LOGOUT
ADR,20,2|1119,2|1119|2|20|0,1571670489,LOGIN
ADR,11,1|2855,1|2855|1|11|1,1571670549,LOGOUT
IOS,15,1|885,1|885|1|15|1,1571670729,LOGIN
IOS,22,2|2318,2|2318|2|22|1,1571671359,LOGIN
IOS,24,2|2944,2|2944|2|24|1,1571671959,LOGIN
H5,15,1|2096,1|2096|1|15|0,1571672079,LOGIN
IOS_YY,11,1|1692,1|1692|1|11|0,1571672799,LOGOUT
ADR,4,0|2225,0|2225|0|04|0,1571673249,LOGIN
ADR,4,0|2225,0|2225|0|04|0,1571673249,LOGIN
ADR,4,0|2225,0|2225|0|04|0,1571673249,LOGIN
ADR,5,0|2501,0|2501|0|05|1,1571587959,LOGOUT
H5,10,1|1495,1|1495|1|10|0,1571588229,LOGOUT
H5,25,2|2498,2|2498|2|25|1,1571588379,LOGIN
IOS_YY,12,1|2094,1|2094|1|12|1,1571588499,LOGOUT
ADR,3,0|514,0|514|0|03|0,1571589069,LOGOUT
IOS,1,0|466_197,0|466_197|0|01|0,1571589519,LOGOUT
H5,25,2|2746,2|2746|2|25|1,1571590029,LOGOUT
H5,0,0|1721,0|1721|0|00|1,1571590179,LOGOUT
H5,0,0|1721,0|1721|0|00|1,1571590179,LOGOUT
H5,0,0|1721,0|1721|0|00|1,1571590179,LOGOUT
H5,0,0|2863,0|2863|0|00|0,1571590749,LOGOUT
IOS_YY,11,1|2490,1|2490|1|11|0,1571590869,LOGOUT
ADR,10,1|739,1|739|1|10|0,1571591199,LOGOUT
ADR,13,1|2756,1|2756|1|13|1,1571591679,LOGIN
IOS,10,1|1331,1|1331|1|10|0,1571591799,LOGOUT
IOS_YY,1,0|1055,0|1055|0|01|0,1571591979,LOGOUT
H5,12,1|316,1|316|1|12|1,1571592189,LOGIN
H5,23,2|946_285,2|946_285|2|23|0,1571592579,LOGIN
ADR,0,0|2274,0|2274|0|00|1,1571592879,LOGIN
IOS_YY,20,2|550,2|550|2|20|0,1571593239,LOGOUT
IOS_YY,11,1|2992,1|2992|1|11|1,1571593989,LOGOUT
IOS,20,2|2071,2|2071|2|20|1,1571594079,LOGOUT
H5,10,1|1395,1|1395|1|10|0,1571594229,LOGIN
IOS_YY,25,2|2691,2|2691|2|25|1,1571594289,LOGOUT
IOS_YY,3,0|665,0|665|0|03|1,1571595429,LOGIN
IOS_YY,12,1|736,1|736|1|12|0,1571596089,LOGOUT
IOS,22,2|470,2|470|2|22|1,1571596689,LOGOUT
ADR,11,1|2478,1|2478|1|11|1,1571596839,LOGOUT
IOS_YY,13,1|2669,1|2669|1|13|1,1571597109,LOGOUT
IOS,1,0|1410,0|1410|0|01|1,1571597799,LOGIN
ADR,21,2|848,2|848|2|21|1,1571597949,LOGIN
ADR,1,0|1248,0|1248|0|01|0,1571597979,LOGOUT
ADR,11,1|1412_1,1|1412_1|1|11|1,1571599059,LOGOUT
IOS_YY,11,1|312,1|312|1|11|1,1571599209,LOGOUT
ADR,2,0|1095,0|1095|0|02|1,1571601219,LOGIN
IOS,11,1|798_278,1|798_278|1|11|1,1571601279,LOGOUT
IOS_YY,15,1|853,1|853|1|15|1,1571601429,LOGOUT
H5,13,1|841_5,1|841_5|1|13|0,1571602149,LOGIN
IOS,14,1|453,1|453|1|14|0,1571602209,LOGOUT
IOS,21,2|1494,2|1494|2|21|1,1571603559,LOGOUT
ADR,13,1|143,1|143|1|13|1,1571603649,LOGOUT
IOS_YY,23,2|42,2|42|2|23|0,1571603709,LOGIN
IOS,4,0|739,0|739|0|04|0,1571604039,LOGIN
ADR,20,2|1925,2|1925|2|20|1,1571604279,LOGOUT
IOS,2,0|1536,0|1536|0|02|0,1571604399,LOGIN
IOS,23,2|107,2|107|2|23|1,1571604459,LOGIN
IOS_YY,11,1|2368,1|2368|1|11|0,1571604789,LOGIN
ADR,0,0|1804,0|1804|0|00|0,1571605299,LOGOUT
IOS,2,0|1334,0|1334|0|02|0,1571605479,LOGIN
IOS,20,2|2785,2|2785|2|20|0,1571605989,LOGOUT
IOS_YY,15,1|2226,1|2226|1|15|0,1571606529,LOGOUT
ADR,5,0|2502,0|2502|0|05|0,1571606769,LOGIN
IOS,21,2|2053,2|2053|2|21|0,1571607339,LOGIN
ADR,10,1|378,1|378|1|10|1,1571607399,LOGIN
H5,1,0|1531_71,0|1531_71|0|01|1,1571608209,LOGOUT
ADR,5,0|245,0|245|0|05|0,1571608389,LOGOUT
ADR,2,0|1147,0|1147|0|02|1,1571608989,LOGOUT
IOS,13,1|2836,1|2836|1|13|0,1571609379,LOGOUT
IOS_YY,5,0|2932,0|2932|0|05|0,1571609499,LOGOUT
H5,15,1|273,1|273|1|15|1,1571610339,LOGIN
IOS,15,1|941_105,1|941_105|1|15|1,1571611059,LOGIN
IOS,23,2|1151,2|1151|2|23|1,1571611479,LOGOUT
ADR,0,0|871,0|871|0|00|0,1571611599,LOGOUT
H5,4,0|2517,0|2517|0|04|0,1571612709,LOGOUT
H5,4,0|2517,0|2517|0|04|0,1571612709,LOGOUT
H5,11,1|907,1|907|1|11|0,1571612919,LOGIN
IOS_YY,24,2|1144,2|1144|2|24|0,1571613069,LOGIN
ADR,20,2|2856,2|2856|2|20|1,1571613129,LOGOUT
H5,1,0|2931,0|2931|0|01|0,1571613339,LOGOUT
ADR,20,2|2434,2|2434|2|20|0,1571614299,LOGIN
ADR,2,0|32,0|32|0|02|1,1571614479,LOGOUT
H5,0,0|1714,0|1714|0|00|0,1571614629,LOGOUT
IOS_YY,1,0|1654,0|1654|0|01|0,1571614719,LOGIN
IOS_YY,1,0|1654,0|1654|0|01|0,1571614719,LOGIN
H5,15,1|1579_73,1|1579_73|1|15|1,1571614959,LOGOUT
ADR,15,1|2187,1|2187|1|15|0,1571615139,LOGOUT
H5,2,0|1228_2,0|1228_2|0|02|0,1571615649,LOGIN
IOS_YY,5,0|424,0|424|0|05|0,1571615799,LOGIN
IOS,13,1|1498,1|1498|1|13|1,1571616819,LOGIN
ADR,25,2|1133,2|1133|2|25|1,1571616849,LOGOUT
ADR,14,1|2632,1|2632|1|14|0,1571617029,LOGIN
ADR,10,1|2795,1|2795|1|10|0,1571617179,LOGOUT
ADR,23,2|1494,2|1494|2|23|1,1571617389,LOGIN
IOS_YY,4,0|2090,0|2090|0|04|1,1571617749,LOGOUT
IOS,1,0|2214,0|2214|0|01|1,1571618199,LOGOUT
IOS,24,2|2674,2|2674|2|24|1,1571618259,LOGIN
H5,0,0|117,0|117|0|00|1,1571618739,LOGIN
IOS,22,2|1347,2|1347|2|22|0,1571619039,LOGIN
IOS,13,1|2858,1|2858|1|13|0,1571619339,LOGOUT
IOS,20,2|1499,2|1499|2|20|0,1571619369,LOGIN
ADR,3,0|2516,0|2516|0|03|0,1571620029,LOGIN
IOS,4,0|2746,0|2746|0|04|0,1571620449,LOGIN
IOS_YY,2,0|1979,0|1979|0|02|0,1571620689,LOGIN
IOS_YY,1,0|635,0|635|0|01|0,1571621109,LOGIN
IOS,13,1|1319,1|1319|1|13|0,1571621139,LOGOUT
IOS_YY,2,0|1790,0|1790|0|02|1,1571621619,LOGIN
IOS_YY,25,2|2202,2|2202|2|25|1,1571622069,LOGOUT
IOS_YY,14,1|307,1|307|1|14|1,1571622189,LOGOUT
ADR,21,2|1314,2|1314|2|21|1,1571622249,LOGOUT
IOS_YY,24,2|994,2|994|2|24|0,1571622639,LOGIN
IOS_YY,20,2|2032,2|2032|2|20|0,1571622759,LOGOUT
IOS_YY,5,0|290,0|290|0|05|0,1571622819,LOGOUT
IOS,0,0|2178,0|2178|0|00|1,1571623299,LOGOUT
IOS_YY,12,1|2959,1|2959|1|12|0,1571623779,LOGOUT
H5,4,0|2621,0|2621|0|04|0,1571624079,LOGOUT
H5,1,0|1259,0|1259|0|01|0,1571624169,LOGIN
IOS_YY,1,0|2579,0|2579|0|01|1,1571624289,LOGOUT
H5,20,2|1988,2|1988|2|20|0,1571624769,LOGOUT
IOS_YY,23,2|696,2|696|2|23|0,1571626539,LOGOUT
IOS_YY,1,0|2916,0|2916|0|01|0,1571626959,LOGIN
IOS,22,2|1699,2|1699|2|22|1,1571627439,LOGIN
ADR,22,2|2012,2|2012|2|22|1,1571627589,LOGOUT
IOS_YY,20,2|1683,2|1683|2|20|1,1571628159,LOGOUT
ADR,21,2|403,2|403|2|21|0,1571628639,LOGOUT
H5,24,2|2951,2|2951|2|24|0,1571628849,LOGOUT
IOS,1,0|2541,0|2541|0|01|0,1571629509,LOGIN
ADR,0,0|1904,0|1904|0|00|1,1571629659,LOGIN
IOS,14,1|2196,1|2196|1|14|0,1571629959,LOGIN
ADR,21,2|432,2|432|2|21|1,1571630139,LOGIN
ADR,0,0|584,0|584|0|00|1,1571630379,LOGIN
IOS_YY,14,1|605,1|605|1|14|0,1571630469,LOGIN
H5,5,0|1464,0|1464|0|05|1,1571630619,LOGIN
ADR,24,2|2336,2|2336|2|24|1,1571630889,LOGIN
H5,25,2|2456,2|2456|2|25|1,1571631369,LOGIN
H5,25,2|2456,2|2456|2|25|1,1571631369,LOGIN
IOS,24,2|1994,2|1994|2|24|0,1571631759,LOGIN
H5,2,0|1816,0|1816|0|02|1,1571631819,LOGIN
IOS_YY,13,1|2963,1|2963|1|13|1,1571632389,LOGOUT
IOS_YY,4,0|1572,0|1572|0|04|0,1571633079,LOGOUT
ADR,12,1|556,1|556|1|12|0,1571633829,LOGOUT
H5,2,0|2795,0|2795|0|02|0,1571634369,LOGIN
ADR,1,0|2283,0|2283|0|01|1,1571634519,LOGIN
H5,12,1|2035,1|2035|1|12|0,1571636289,LOGOUT
ADR,11,1|1705,1|1705|1|11|0,1571636709,LOGIN
IOS_YY,21,2|1098,2|1098|2|21|0,1571636799,LOGOUT
H5,5,0|155,0|155|0|05|1,1571636949,LOGIN
IOS_YY,24,2|2004,2|2004|2|24|0,1571637039,LOGIN
IOS,0,0|2817,0|2817|0|00|1,1571637069,LOGIN
IOS_YY,1,0|1039_127,0|1039_127|0|01|1,1571637129,LOGIN
H5,2,0|271,0|271|0|02|1,1571637459,LOGIN
IOS_YY,3,0|2431,0|2431|0|03|1,1571637759,LOGIN
H5,10,1|386,1|386|1|10|0,1571638119,LOGOUT
ADR,12,1|556,1|556|1|12|0,1571638749,LOGIN
IOS_YY,0,0|1704,0|1704|0|00|0,1571639259,LOGOUT
ADR,20,2|2524,2|2524|2|20|1,1571640879,LOGOUT
IOS_YY,24,2|2468,2|2468|2|24|1,1571641839,LOGOUT
IOS_YY,20,2|2614,2|2614|2|20|0,1571643699,LOGOUT
H5,21,2|2055,2|2055|2|21|0,1571643819,LOGOUT
IOS,10,1|2299,1|2299|1|10|1,1571643969,LOGOUT
IOS_YY,24,2|1369,2|1369|2|24|1,1571644329,LOGOUT
IOS_YY,25,2|45,2|45|2|25|1,1571644389,LOGOUT
ADR,11,1|1663,1|1663|1|11|1,1571644479,LOGIN
ADR,4,0|1514,0|1514|0|04|0,1571645379,LOGOUT
IOS,0,0|912,0|912|0|00|1,1571646639,LOGOUT
H5,20,2|72_75,2|72_75|2|20|1,1571646909,LOGIN
H5,11,1|2668,1|2668|1|11|1,1571647149,LOGOUT
IOS_YY,15,1|228,1|228|1|15|0,1571647179,LOGOUT
ADR,2,0|447,0|447|0|02|1,1571647929,LOGOUT
H5,22,2|1028_51,2|1028_51|2|22|1,1571647959,LOGOUT
H5,21,2|2863,2|2863|2|21|0,1571647989,LOGOUT
IOS,20,2|1827,2|1827|2|20|1,1571648019,LOGOUT
IOS_YY,3,0|1213,0|1213|0|03|1,1571648079,LOGIN
IOS,21,2|1084,2|1084|2|21|1,1571648559,LOGOUT
ADR,2,0|442,0|442|0|02|0,1571648649,LOGIN
H5,10,1|2535,1|2535|1|10|1,1571649399,LOGOUT
IOS_YY,23,2|957,2|957|2|23|1,1571649519,LOGIN
IOS,5,0|2512,0|2512|0|05|1,1571650149,LOGIN
IOS_YY,2,0|1273_241,0|1273_241|0|02|1,1571650179,LOGOUT
IOS_YY,3,0|429,0|429|0|03|0,1571650539,LOGOUT
IOS_YY,24,2|1794,2|1794|2|24|1,1571651169,LOGIN
H5,12,1|634,1|634|1|12|1,1571651409,LOGOUT
ADR,4,0|1832,0|1832|0|04|1,1571651769,LOGOUT
IOS,11,1|1257,1|1257|1|11|1,1571651829,LOGIN
ADR,20,2|86,2|86|2|20|0,1571652009,LOGIN
IOS_YY,1,0|352,0|352|0|01|0,1571652549,LOGOUT
IOS,13,1|1877,1|1877|1|13|0,1571653419,LOGIN
H5,1,0|109,0|109|0|01|0,1571653479,LOGOUT
IOS_YY,13,1|2021,1|2021|1|13|1,1571653539,LOGOUT
IOS,10,1|959,1|959|1|10|1,1571654139,LOGIN
H5,4,0|2843,0|2843|0|04|1,1571654229,LOGIN
H5,24,2|307,2|307|2|24|1,1571654469,LOGIN
ADR,12,1|352,1|352|1|12|0,1571655579,LOGIN
IOS,25,2|2861,2|2861|2|25|0,1571656389,LOGIN
IOS_YY,25,2|806,2|806|2|25|0,1571656509,LOGIN
IOS_YY,14,1|1246,1|1246|1|14|0,1571656569,LOGOUT
ADR,0,0|784,0|784|0|00|0,1571656599,LOGOUT
H5,25,2|1295,2|1295|2|25|1,1571656749,LOGIN
ADR,25,2|2095,2|2095|2|25|0,1571658129,LOGOUT
IOS,21,2|428,2|428|2|21|1,1571658639,LOGOUT
ADR,25,2|1776,2|1776|2|25|0,1571659239,LOGOUT
IOS_YY,23,2|2016,2|2016|2|23|1,1571660049,LOGOUT
ADR,0,0|1516,0|1516|0|00|0,1571660529,LOGOUT
IOS_YY,0,0|2509,0|2509|0|00|1,1571660589,LOGIN
IOS_YY,4,0|638,0|638|0|04|1,1571661039,LOGIN
IOS,14,1|530,1|530|1|14|0,1571661129,LOGIN
IOS_YY,12,1|2554,1|2554|1|12|1,1571662299,LOGIN
H5,10,1|2384,1|2384|1|10|0,1571662569,LOGIN
IOS_YY,10,1|1135,1|1135|1|10|1,1571662689,LOGIN
H5,24,2|2695,2|2695|2|24|1,1571662749,LOGIN
IOS_YY,13,1|2879,1|2879|1|13|0,1571662839,LOGIN
IOS_YY,1,0|2659,0|2659|0|01|0,1571663079,LOGOUT
H5,25,2|2944,2|2944|2|25|0,1571663409,LOGOUT
ADR,14,1|2611,1|2611|1|14|0,1571663949,LOGOUT
ADR,13,1|1184,1|1184|1|13|1,1571663979,LOGOUT
H5,2,0|113,0|113|0|02|0,1571664879,LOGIN
IOS_YY,12,1|907,1|907|1|12|1,1571665059,LOGIN
ADR,25,2|2673,2|2673|2|25|0,1571665449,LOGOUT
H5,10,1|1459,1|1459|1|10|1,1571665599,LOGIN
ADR,3,0|2758,0|2758|0|03|1,1571665719,LOGIN
H5,3,0|718,0|718|0|03|1,1571666919,LOGOUT
H5,10,1|1213,1|1213|1|10|0,1571667249,LOGIN
ADR,21,2|890,2|890|2|21|1,1571668059,LOGIN
H5,14,1|1983,1|1983|1|14|1,1571668239,LOGIN
IOS_YY,23,2|288,2|288|2|23|0,1571668449,LOGOUT
IOS_YY,20,2|1688,2|1688|2|20|1,1571669139,LOGIN
IOS_YY,12,1|1574,1|1574|1|12|0,1571669319,LOGIN
IOS,4,0|947,0|947|0|04|0,1571669439,LOGIN
IOS_YY,25,2|2610,2|2610|2|25|1,1571670459,LOGIN
H5,14,1|2834,1|2834|1|14|1,1571670759,LOGOUT
IOS,11,1|1859,1|1859|1|11|0,1571670819,LOGOUT
H5,24,2|87,2|87|2|24|1,1571671149,LOGIN
IOS_YY,10,1|2717,1|2717|1|10|1,1571671419,LOGOUT
IOS,24,2|2944,2|2944|2|24|1,1571671959,LOGIN
IOS_YY,21,2|1017,2|1017|2|21|1,1571672049,LOGIN
H5,10,1|1890,1|1890|1|10|0,1571672619,LOGIN
IOS_YY,24,2|334,2|334|2|24|1,1571673339,LOGIN
ADR,13,1|749,1|749|1|13|1,1571673369,LOGIN
IOS,21,2|1128,2|1128|2|21|0,1571587239,LOGIN
IOS,25,2|2067,2|2067|2|25|0,1571588109,LOGOUT
ADR,12,1|1563,1|1563|1|12|0,1571588919,LOGOUT
ADR,3,0|514,0|514|0|03|0,1571589069,LOGOUT
ADR,11,1|1782,1|1782|1|11|0,1571589129,LOGOUT
ADR,12,1|1005,1|1005|1|12|1,1571589549,LOGOUT
IOS_YY,12,1|629,1|629|1|12|1,1571589639,LOGOUT
IOS_YY,5,0|1155,0|1155|0|05|1,1571590119,LOGOUT
IOS_YY,5,0|1155,0|1155|0|05|1,1571590119,LOGOUT
IOS_YY,11,1|2490,1|2490|1|11|0,1571590869,LOGOUT
ADR,2,0|2116,0|2116|0|02|1,1571590929,LOGOUT
IOS_YY,4,0|2603,0|2603|0|04|0,1571591889,LOGIN
IOS,20,2|1052,2|1052|2|20|0,1571592009,LOGOUT
IOS,23,2|1681,2|1681|2|23|1,1571592249,LOGOUT
IOS_YY,25,2|2750,2|2750|2|25|0,1571592489,LOGIN
ADR,0,0|2365,0|2365|0|00|0,1571592729,LOGOUT
IOS,10,1|1230,1|1230|1|10|1,1571593029,LOGOUT
H5,25,2|1178,2|1178|2|25|0,1571593509,LOGIN
IOS,1,0|1190,0|1190|0|01|1,1571593539,LOGOUT
IOS_YY,24,2|1857,2|1857|2|24|1,1571593659,LOGOUT
IOS,25,2|847,2|847|2|25|1,1571594379,LOGOUT
IOS_YY,12,1|2005,1|2005|1|12|1,1571595489,LOGIN
IOS_YY,0,0|2296,0|2296|0|00|1,1571595639,LOGIN
IOS_YY,20,2|1271,2|1271|2|20|0,1571595789,LOGOUT
H5,24,2|2656,2|2656|2|24|1,1571595879,LOGOUT
IOS_YY,14,1|1143,1|1143|1|14|0,1571597379,LOGIN
H5,11,1|2619,1|2619|1|11|1,1571597769,LOGIN
ADR,25,2|1986,2|1986|2|25|0,1571598099,LOGOUT
ADR,13,1|2722,1|2722|1|13|0,1571598189,LOGIN
IOS,14,1|828,1|828|1|14|0,1571598249,LOGOUT
IOS_YY,2,0|1388,0|1388|0|02|0,1571598699,LOGIN
IOS_YY,0,0|107,0|107|0|00|1,1571599239,LOGOUT
IOS_YY,14,1|955,1|955|1|14|0,1571599389,LOGIN
IOS,20,2|1510,2|1510|2|20|1,1571600799,LOGOUT
IOS,20,2|1510,2|1510|2|20|1,1571600799,LOGOUT
ADR,22,2|645,2|645|2|22|0,1571600859,LOGOUT
IOS,11,1|798_278,1|798_278|1|11|1,1571601279,LOGOUT
H5,25,2|1876,2|1876|2|25|0,1571601639,LOGIN
H5,4,0|2593,0|2593|0|04|0,1571602899,LOGIN
H5,10,1|1650_160,1|1650_160|1|10|0,1571604759,LOGOUT
H5,25,2|2362,2|2362|2|25|1,1571605209,LOGOUT
H5,3,0|1675,0|1675|0|03|1,1571605389,LOGIN
IOS,13,1|1314,1|1314|1|13|1,1571606199,LOGIN
H5,4,0|2133,0|2133|0|04|0,1571606439,LOGIN
IOS,4,0|2059,0|2059|0|04|0,1571607729,LOGIN
IOS_YY,12,1|1855,1|1855|1|12|0,1571608419,LOGIN
IOS,10,1|1229,1|1229|1|10|1,1571608449,LOGIN
H5,5,0|2988,0|2988|0|05|1,1571608569,LOGIN
H5,5,0|2988,0|2988|0|05|1,1571608569,LOGIN
IOS,4,0|679,0|679|0|04|0,1571609139,LOGOUT
H5,20,2|2344,2|2344|2|20|1,1571609259,LOGOUT
IOS_YY,10,1|808,1|808|1|10|1,1571609769,LOGOUT
IOS,4,0|106,0|106|0|04|0,1571609919,LOGOUT
H5,23,2|1218,2|1218|2|23|1,1571610159,LOGOUT
IOS,3,0|1524_41,0|1524_41|0|03|1,1571610369,LOGOUT
IOS,24,2|1217,2|1217|2|24|1,1571610549,LOGOUT
ADR,12,1|2709,1|2709|1|12|1,1571611089,LOGIN
ADR,12,1|2709,1|2709|1|12|1,1571611089,LOGIN
IOS,14,1|1974,1|1974|1|14|0,1571611239,LOGIN
IOS_YY,15,1|197,1|197|1|15|1,1571611539,LOGOUT
IOS,12,1|2094,1|2094|1|12|0,1571611749,LOGOUT
H5,21,2|801,2|801|2|21|1,1571611779,LOGIN
IOS_YY,12,1|1537,1|1537|1|12|0,1571612259,LOGIN
IOS_YY,5,0|521,0|521|0|05|1,1571612289,LOGOUT
ADR,12,1|526,1|526|1|12|0,1571612349,LOGIN
H5,4,0|2517,0|2517|0|04|0,1571612709,LOGOUT
ADR,1,0|605,0|605|0|01|0,1571612799,LOGIN
IOS_YY,15,1|632,1|632|1|15|0,1571612829,LOGIN
IOS_YY,14,1|2032,1|2032|1|14|0,1571613039,LOGIN
IOS,13,1|1518,1|1518|1|13|0,1571613399,LOGIN
ADR,21,2|2556,2|2556|2|21|1,1571613429,LOGIN
IOS,4,0|2136,0|2136|0|04|0,1571614089,LOGIN
IOS_YY,1,0|1224,0|1224|0|01|1,1571614869,LOGIN
ADR,13,1|1586,1|1586|1|13|1,1571615529,LOGOUT
H5,24,2|2629,2|2629|2|24|1,1571615949,LOGIN
H5,10,1|2059,1|2059|1|10|1,1571616069,LOGIN
