platform,server,uid,dataUnix,status
H5,20,2|376,1571423169,LOGOUT
H5,11,1|262,1571423229,LOGOUT
ADR,1,0|2191,1571424039,LOGIN
ADR,15,1|1933,1571424129,LOGOUT
IOS_YY,2,0|210,1571424159,LOGIN
ADR,14,1|2615,1571424219,LOGOUT
H5,15,1|1011,1571424309,LOGOUT
H5,10,1|67,1571424519,LOGOUT
IOS_YY,1,0|338,1571424819,LOGIN
IOS,10,1|730,1571424849,LOGIN
IOS,20,2|2504,1571425089,LOGIN
IOS,20,2|2504,1571425089,LOGIN
ADR,12,1|682,1571425149,LOGIN
ADR,4,0|729,1571425299,LOGOUT
IOS,4,0|561,1571425389,LOGOUT
IOS,0,0|2291,1571426019,LOGOUT
ADR,12,1|1559,1571426079,LOGOUT
IOS_YY,10,1|1346,1571426469,LOGOUT
H5,23,2|1889,1571426679,LOGIN
IOS_YY,4,0|453,1571427459,LOGIN
IOS,3,0|469,1571427609,LOGOUT
IOS,1,0|469,1571427609,LOGIN
IOS,25,2|2399,1571427639,LOGOUT
ADR,13,1|1192,1571427729,LOGOUT
IOS,12,1|1696,1571427759,LOGIN
ADR,2,0|1696,1571427759,LOGOUT
IOS_YY,5,0|922,1571428029,LOGIN
ADR,23,2|145,1571428149,LOGIN
ADR,21,2|188,1571428239,LOGOUT
IOS_YY,4,0|713_158,1571428269,LOGIN
H5,22,2|916,1571428389,LOGIN
IOS_YY,3,0|868,1571428689,LOGIN
ADR,22,2|2487,1571429139,LOGOUT
ADR,23,2|2435,1571429229,LOGIN
IOS,4,0|796,1571429319,LOGIN
IOS,21,2|244,1571429649,LOGOUT
IOS,11,1|928,1571430339,LOGOUT
IOS,12,1|2489,1571430369,LOGOUT
ADR,25,2|1037,1571430789,LOGOUT
H5,11,1|826,1571430819,LOGIN
IOS,11,1|277,1571430909,LOGIN
H5,15,1|12,1571431149,LOGOUT
IOS_YY,4,0|1003,1571431179,LOGIN
H5,15,1|690,1571431209,LOGIN
IOS,5,0|1063,1571431569,LOGOUT
H5,13,1|821,1571431629,LOGIN
H5,11,1|783,1571431869,LOGOUT
IOS_YY,14,1|2519,1571432499,LOGIN
IOS,1,0|1743_71,1571433189,LOGOUT
IOS,11,1|554,1571433489,LOGOUT
IOS_YY,21,2|2707,1571433969,LOGIN
IOS_YY,15,1|1862,1571434119,LOGIN
ADR,11,1|2831,1571434149,LOGIN
ADR,24,2|2095,1571434479,LOGOUT
ADR,24,2|1268,1571434779,LOGIN
IOS,1,0|1095,1571435049,LOGOUT
ADR,0,0|2523,1571435319,LOGOUT
H5,22,2|39,1571435349,LOGOUT
IOS_YY,24,2|1211,1571436159,LOGIN
ADR,12,1|215,1571436279,LOGOUT
IOS_YY,1,0|526,1571436759,LOGIN
ADR,4,0|1452,1571436879,LOGOUT
IOS,24,2|2884,1571436939,LOGIN
H5,23,2|2434,1571436969,LOGIN
IOS,15,1|564,1571436999,LOGIN
IOS,24,2|1863,1571437059,LOGIN
H5,14,1|163,1571437239,LOGOUT
ADR,4,0|1172,1571437389,LOGOUT
IOS_YY,0,0|2929,1571437449,LOGIN
H5,14,1|1411,1571437899,LOGIN
IOS,3,0|1411,1571437899,LOGOUT
IOS,21,2|132,1571437989,LOGIN
IOS,13,1|719_194,1571438049,LOGIN
IOS,4,0|1624,1571438379,LOGOUT
IOS,22,2|1115,1571438439,LOGIN
IOS_YY,14,1|971,1571438559,LOGIN
ADR,4,0|971,1571438559,LOGOUT
H5,24,2|1959,1571438649,LOGIN
ADR,5,0|697,1571438739,LOGOUT
IOS_YY,25,2|1694,1571438889,LOGIN
IOS,23,2|330,1571439039,LOGOUT
ADR,13,1|1045,1571439099,LOGOUT
IOS,24,2|777,1571439159,LOGOUT
IOS_YY,3,0|1223,1571439249,LOGIN
ADR,23,2|2089,1571439759,LOGIN
IOS_YY,15,1|1739,1571440209,LOGIN
H5,3,0|2404,1571440269,LOGIN
IOS,12,1|1671,1571440389,LOGIN
IOS,15,1|2933,1571440449,LOGOUT
H5,1,0|2536,1571441859,LOGIN
IOS_YY,24,2|1003,1571441949,LOGOUT
H5,4,0|2639,1571442099,LOGOUT
ADR,15,1|1663,1571442159,LOGOUT
IOS,21,2|2101,1571442429,LOGOUT
H5,24,2|2227,1571442579,LOGOUT
IOS_YY,21,2|2503,1571442639,LOGIN
ADR,12,1|2247,1571443689,LOGOUT
IOS,4,0|2344,1571443749,LOGOUT
IOS,4,0|2344,1571443749,LOGOUT
H5,13,1|1952,1571443839,LOGOUT
ADR,15,1|2452,1571444709,LOGOUT
ADR,21,2|828,1571444739,LOGOUT
H5,14,1|2453,1571444919,LOGIN
IOS,5,0|1007,1571445129,LOGOUT
IOS_YY,12,1|371,1571445159,LOGIN
ADR,5,0|371,1571445159,LOGOUT
IOS,21,2|1108,1571445369,LOGOUT
IOS_YY,2,0|654,1571445489,LOGIN
H5,15,1|1815,1571445789,LOGOUT
H5,21,2|59,1571445969,LOGIN
IOS_YY,20,2|1785,1571446419,LOGIN
IOS,2,0|966,1571446539,LOGOUT
IOS,15,1|2430,1571446899,LOGIN
IOS,12,1|972,1571447049,LOGOUT
IOS,12,1|972,1571447049,LOGOUT
ADR,21,2|2189,1571447229,LOGIN
IOS,22,2|2806,1571447349,LOGIN
IOS,5,0|15,1571447979,LOGOUT
IOS,23,2|2309,1571448009,LOGIN
ADR,5,0|1505,1571448729,LOGIN
IOS_YY,24,2|652,1571448909,LOGOUT
ADR,1,0|1685,1571450049,LOGOUT
H5,13,1|238,1571450079,LOGIN
ADR,25,2|18,1571450109,LOGOUT
H5,12,1|61,1571450139,LOGOUT
IOS,5,0|796,1571450259,LOGIN
IOS_YY,12,1|8,1571450649,LOGIN
ADR,24,2|2374,1571450769,LOGOUT
ADR,12,1|2374,1571450769,LOGIN
IOS,5,0|2933,1571450799,LOGOUT
H5,14,1|1212_57,1571451099,LOGIN
IOS_YY,21,2|2537,1571451399,LOGOUT
IOS,22,2|489,1571451459,LOGIN
H5,13,1|417,1571451489,LOGOUT
ADR,11,1|417,1571451489,LOGIN
IOS,12,1|1647_132,1571451909,LOGOUT
ADR,2,0|777_33,1571451939,LOGIN
IOS,22,2|2744,1571452239,LOGOUT
H5,13,1|285,1571452539,LOGOUT
IOS,5,0|2676,1571452719,LOGIN
IOS_YY,13,1|1728,1571452929,LOGOUT
H5,24,2|317,1571453199,LOGIN
H5,12,1|2975,1571453229,LOGOUT
IOS,1,0|2614,1571453349,LOGOUT
IOS_YY,10,1|2361,1571453619,LOGIN
IOS_YY,10,1|2361,1571453619,LOGIN
IOS,14,1|1346,1571453649,LOGIN
ADR,20,2|2102,1571453709,LOGIN
H5,23,2|2102,1571453709,LOGOUT
IOS,1,0|1677,1571453799,LOGIN
IOS_YY,15,1|1026,1571453979,LOGOUT
IOS_YY,15,1|1026,1571453979,LOGOUT
H5,5,0|2814,1571454279,LOGIN
IOS_YY,11,1|1404,1571454879,LOGIN
ADR,23,2|2932,1571455089,LOGIN
H5,13,1|1007,1571455329,LOGOUT
ADR,11,1|986,1571455449,LOGIN
IOS,10,1|151,1571455629,LOGOUT
IOS_YY,2,0|1166,1571456079,LOGOUT
IOS_YY,4,0|209,1571456199,LOGIN
IOS_YY,4,0|209,1571456199,LOGIN
IOS,12,1|974,1571456379,LOGIN
IOS,12,1|974,1571456379,LOGIN
IOS_YY,0,0|679,1571456439,LOGOUT
IOS_YY,0,0|679,1571456439,LOGOUT
IOS,4,0|493,1571456469,LOGIN
IOS,12,1|911_121,1571456559,LOGOUT
IOS_YY,25,2|1136,1571456709,LOGIN
IOS,2,0|619,1571456799,LOGIN
IOS,14,1|1076,1571457699,LOGIN
H5,23,2|729,1571457789,LOGIN
ADR,23,2|2354,1571458599,LOGOUT
H5,13,1|2842,1571458719,LOGIN
H5,0,0|1610,1571458779,LOGIN
ADR,21,2|308,1571459019,LOGIN
IOS,14,1|1803,1571459169,LOGOUT
H5,22,2|2569,1571459229,LOGOUT
IOS_YY,22,2|1742,1571459259,LOGOUT
IOS,20,2|2421,1571459679,LOGIN
IOS,13,1|2125,1571459859,LOGIN
IOS_YY,14,1|1221,1571459919,LOGOUT
ADR,2,0|1190,1571459949,LOGOUT
IOS_YY,13,1|1185,1571460129,LOGIN
IOS,25,2|523,1571460369,LOGIN
IOS_YY,12,1|1674,1571460399,LOGIN
ADR,23,2|2606,1571461779,LOGIN
IOS_YY,10,1|2374,1571462349,LOGOUT
IOS_YY,5,0|953,1571462769,LOGOUT
H5,2,0|1542,1571462889,LOGOUT
IOS_YY,10,1|1061,1571462919,LOGIN
IOS,5,0|691,1571464089,LOGOUT
H5,24,2|2970,1571464179,LOGIN
IOS,23,2|1891,1571464329,LOGOUT
IOS,23,2|1891,1571464329,LOGIN
ADR,2,0|2553,1571464629,LOGIN
ADR,2,0|2553,1571464629,LOGIN
ADR,13,1|2477,1571464959,LOGIN
H5,4,0|1630,1571465079,LOGOUT
ADR,10,1|562_259,1571465289,LOGOUT
IOS_YY,15,1|2372,1571465379,LOGIN
IOS_YY,15,1|657,1571465559,LOGOUT
IOS_YY,11,1|1376,1571465619,LOGOUT
H5,10,1|2788,1571465859,LOGIN
IOS,14,1|97,1571466609,LOGOUT
ADR,4,0|409,1571467119,LOGIN
IOS,21,2|1506,1571467179,LOGOUT
IOS,4,0|1031_128,1571467269,LOGOUT
ADR,11,1|1530,1571467569,LOGOUT
H5,24,2|567,1571467749,LOGIN
H5,4,0|1741,1571467839,LOGIN
IOS,1,0|1292,1571468019,LOGIN
ADR,3,0|1331,1571468289,LOGIN
IOS,24,2|1525,1571468409,LOGIN
H5,10,1|1024,1571468529,LOGOUT
ADR,23,2|2742,1571469159,LOGIN
H5,12,1|111,1571469189,LOGIN
IOS,12,1|111,1571469189,LOGOUT
H5,2,0|1834,1571469489,LOGIN
IOS_YY,10,1|2284,1571469549,LOGOUT
IOS,15,1|1482,1571469579,LOGIN
IOS_YY,10,1|1097,1571469639,LOGOUT
ADR,21,2|877,1571469879,LOGOUT
ADR,21,2|877,1571469879,LOGOUT
IOS,20,2|114,1571470029,LOGOUT
IOS_YY,3,0|1961,1571470449,LOGOUT
IOS,24,2|2611,1571470569,LOGIN
IOS,0,0|918,1571470659,LOGIN
IOS_YY,20,2|1486,1571471529,LOGOUT
H5,25,2|1954,1571471889,LOGIN
IOS_YY,11,1|872,1571472039,LOGIN
IOS_YY,0,0|2125,1571472249,LOGOUT
IOS_YY,11,1|2901,1571472339,LOGIN
ADR,5,0|2690,1571472369,LOGOUT
IOS_YY,20,2|2424,1571472429,LOGOUT
IOS_YY,15,1|2663,1571472489,LOGIN
H5,23,2|9,1571472519,LOGIN
IOS,1,0|423,1571472609,LOGIN
H5,2,0|2735,1571472699,LOGIN
ADR,0,0|2716,1571473089,LOGIN
IOS,12,1|453,1571473359,LOGIN
IOS,12,1|453,1571473359,LOGIN
ADR,15,1|932,1571473629,LOGOUT
H5,12,1|254_108,1571473779,LOGIN
IOS_YY,25,2|2313,1571473839,LOGIN
ADR,2,0|1833,1571473929,LOGOUT
IOS,14,1|1703,1571474139,LOGOUT
ADR,10,1|2999,1571474229,LOGIN
IOS,11,1|450,1571474439,LOGOUT
IOS,11,1|450,1571474439,LOGOUT
IOS,4,0|2957,1571474709,LOGIN
IOS,10,1|2073,1571474949,LOGOUT
ADR,0,0|1211,1571475009,LOGOUT
IOS_YY,24,2|588,1571475399,LOGOUT
ADR,24,2|113,1571475549,LOGOUT
ADR,11,1|1105,1571475909,LOGIN
IOS_YY,23,2|2841,1571476269,LOGIN
ADR,4,0|422,1571476419,LOGOUT
IOS_YY,20,2|1590_198,1571476449,LOGIN
H5,5,0|1590_198,1571476449,LOGOUT
ADR,1,0|184,1571476929,LOGOUT
IOS_YY,3,0|1062,1571477469,LOGOUT
ADR,5,0|2966,1571478069,LOGOUT
IOS,15,1|1447,1571478159,LOGIN
IOS,0,0|1686,1571478189,LOGOUT
H5,22,2|289,1571478249,LOGOUT
H5,22,2|2085,1571478399,LOGOUT
IOS,10,1|1957,1571478459,LOGOUT
IOS,10,1|1957,1571478459,LOGOUT
IOS,13,1|1763,1571478519,LOGOUT
ADR,13,1|2072,1571479149,LOGIN
ADR,10,1|1106,1571479239,LOGOUT
H5,20,2|2115,1571479779,LOGOUT
ADR,0,0|252,1571480079,LOGIN
IOS_YY,1,0|170,1571480289,LOGOUT
H5,22,2|1603,1571480379,LOGIN
ADR,3,0|2324,1571480499,LOGIN
ADR,20,2|586,1571480589,LOGIN
ADR,2,0|522,1571480739,LOGIN
IOS_YY,22,2|578,1571480949,LOGOUT
IOS,14,1|1582,1571481039,LOGIN
IOS_YY,12,1|37,1571481159,LOGOUT
IOS,11,1|937,1571481549,LOGOUT
H5,15,1|932,1571481579,LOGIN
ADR,22,2|932,1571481579,LOGOUT
IOS_YY,2,0|1409,1571481729,LOGOUT
ADR,22,2|536,1571482029,LOGIN
IOS_YY,20,2|1264,1571482119,LOGOUT
H5,5,0|948_13,1571482179,LOGOUT
IOS,20,2|686,1571482209,LOGOUT
IOS,21,2|551,1571482269,LOGOUT
H5,5,0|551,1571482269,LOGIN
IOS_YY,3,0|1818,1571482389,LOGIN
IOS,24,2|907,1571482479,LOGIN
ADR,11,1|2390,1571482569,LOGOUT
ADR,10,1|2390,1571482569,LOGIN
ADR,10,1|2390,1571482569,LOGIN
H5,14,1|956,1571482809,LOGOUT
IOS_YY,11,1|2822,1571482899,LOGOUT
IOS_YY,11,1|2822,1571482899,LOGOUT
ADR,15,1|1854,1571482989,LOGOUT
IOS_YY,10,1|1882,1571483079,LOGIN
H5,22,2|2612,1571483109,LOGOUT
H5,11,1|555,1571483199,LOGOUT
H5,21,2|1103,1571483679,LOGIN
IOS,4,0|1616,1571483799,LOGOUT
IOS_YY,3,0|1508,1571483919,LOGOUT
H5,4,0|2454,1571484159,LOGIN
ADR,5,0|2893,1571484489,LOGIN
IOS,20,2|2483,1571484669,LOGIN
IOS_YY,22,2|1950_66,1571484999,LOGIN
IOS_YY,4,0|1533,1571485029,LOGIN
H5,24,2|1864,1571485089,LOGOUT
H5,3,0|1126,1571485119,LOGIN
ADR,11,1|2341,1571485179,LOGOUT
ADR,11,1|2665,1571485419,LOGOUT
IOS_YY,14,1|2364,1571485539,LOGIN
ADR,14,1|796,1571485659,LOGIN
H5,15,1|1414_5,1571485749,LOGIN
IOS,2,0|168,1571485869,LOGOUT
H5,3,0|2245,1571486199,LOGIN
IOS,11,1|999,1571486349,LOGOUT
IOS,11,1|999,1571486349,LOGOUT
H5,15,1|2250,1571486589,LOGIN
IOS,23,2|1412_246,1571487219,LOGOUT
ADR,15,1|1639,1571487459,LOGOUT
IOS_YY,15,1|1575,1571487639,LOGOUT
H5,11,1|2479,1571487789,LOGOUT
ADR,14,1|464,1571487879,LOGOUT
ADR,13,1|714_245,1571487999,LOGOUT
H5,25,2|2209,1571488479,LOGIN
ADR,12,1|287,1571488629,LOGIN
IOS_YY,5,0|1012,1571488779,LOGIN
IOS_YY,20,2|1822,1571489019,LOGIN
IOS_YY,15,1|2915,1571489049,LOGIN
IOS,1,0|2514,1571489289,LOGIN
ADR,11,1|1781,1571489349,LOGOUT
IOS,21,2|1319_150,1571489679,LOGOUT
IOS,0,0|799,1571490279,LOGOUT
H5,11,1|929,1571490339,LOGIN
H5,10,1|604,1571490729,LOGOUT
H5,4,0|1873,1571490909,LOGIN
IOS_YY,24,2|2917,1571490999,LOGOUT
IOS_YY,13,1|2747,1571491149,LOGOUT
H5,23,2|810,1571491389,LOGOUT
H5,15,1|2147,1571491749,LOGIN
ADR,3,0|1971,1571492199,LOGIN
H5,0,0|259,1571492259,LOGOUT
IOS,24,2|2712,1571492409,LOGOUT
IOS_YY,21,2|515,1571492439,LOGIN
H5,5,0|716,1571492499,LOGIN
H5,5,0|716,1571492499,LOGIN
IOS,20,2|2289,1571492559,LOGIN
ADR,11,1|2778,1571493369,LOGOUT
H5,5,0|1061,1571493519,LOGIN
H5,22,2|184,1571493579,LOGOUT
IOS,22,2|1847,1571493759,LOGIN
IOS,14,1|401,1571494089,LOGIN
H5,15,1|2632,1571494269,LOGIN
IOS_YY,3,0|2085,1571494539,LOGIN
H5,11,1|1013,1571494749,LOGOUT
ADR,2,0|1970,1571494959,LOGOUT
H5,15,1|1231,1571495049,LOGOUT
ADR,5,0|2944,1571495169,LOGOUT
IOS_YY,21,2|774,1571495259,LOGOUT
IOS_YY,24,2|2149,1571495319,LOGIN
IOS_YY,5,0|390,1571495379,LOGOUT
H5,11,1|1678,1571495769,LOGIN
IOS,22,2|538,1571495829,LOGIN
H5,21,2|1737_279,1571496069,LOGIN
ADR,10,1|774,1571496159,LOGOUT
H5,2,0|683,1571496339,LOGOUT
H5,1,0|2139,1571496369,LOGIN
H5,2,0|2769,1571496669,LOGIN
IOS,15,1|1536,1571497059,LOGOUT
IOS,15,1|2548,1571497509,LOGIN
ADR,22,2|2435,1571497539,LOGIN
IOS,3,0|2715,1571497809,LOGIN
H5,1,0|1636,1571497869,LOGOUT
H5,20,2|2691,1571497959,LOGOUT
IOS_YY,12,1|2569,1571498199,LOGIN
IOS,15,1|212,1571498319,LOGIN
ADR,5,0|1734,1571498529,LOGIN
ADR,23,2|1799,1571498589,LOGOUT
IOS,3,0|1706,1571499039,LOGIN
H5,10,1|1290,1571499159,LOGIN
ADR,10,1|2188,1571499579,LOGOUT
IOS,0,0|2119,1571499699,LOGIN
H5,4,0|2019,1571499759,LOGIN
ADR,25,2|137,1571500089,LOGOUT
H5,25,2|2909,1571500149,LOGOUT
IOS,23,2|1604,1571500389,LOGIN
H5,14,1|1604,1571500389,LOGOUT
IOS,24,2|2143,1571500449,LOGIN
H5,2,0|2143,1571500449,LOGOUT
IOS_YY,1,0|2139,1571500479,LOGOUT
IOS_YY,15,1|1374,1571500509,LOGOUT
IOS_YY,0,0|1582,1571500569,LOGIN
ADR,12,1|331,1571500659,LOGIN
IOS,5,0|1364,1571414439,LOGOUT
IOS_YY,11,1|570,1571414589,LOGIN
IOS_YY,12,1|336,1571414889,LOGIN
H5,11,1|492,1571414949,LOGIN
H5,11,1|492,1571414949,LOGIN
IOS_YY,14,1|2681,1571415099,LOGOUT
IOS,22,2|2095,1571415189,LOGIN
IOS,11,1|2516,1571415249,LOGIN
IOS_YY,23,2|1181,1571415699,LOGOUT
ADR,24,2|1601,1571415789,LOGOUT
ADR,24,2|1601,1571415789,LOGOUT
IOS,2,0|312,1571415819,LOGOUT
ADR,0,0|2078,1571415879,LOGIN
H5,25,2|1230,1571416029,LOGIN
IOS_YY,11,1|2318,1571416149,LOGIN
ADR,15,1|1282,1571416479,LOGIN
ADR,23,2|2750,1571416839,LOGIN
IOS,11,1|1745,1571416869,LOGIN
IOS,21,2|1248,1571417349,LOGOUT
IOS,21,2|2825,1571417559,LOGIN
IOS_YY,4,0|1002,1571417619,LOGIN
IOS_YY,23,2|833,1571417799,LOGIN
IOS,1,0|2477,1571417859,LOGOUT
ADR,0,0|1345,1571418429,LOGOUT
IOS_YY,14,1|385_23,1571418459,LOGIN
H5,10,1|222,1571418489,LOGOUT
H5,21,2|1584_82,1571418579,LOGOUT
IOS_YY,15,1|1676,1571418939,LOGOUT
IOS,10,1|987,1571419029,LOGOUT
H5,0,0|1571,1571419059,LOGIN
IOS,15,1|1109,1571419239,LOGOUT
IOS_YY,20,2|1406,1571419659,LOGIN
ADR,13,1|1716,1571420049,LOGIN
H5,2,0|1652_264,1571420109,LOGIN
ADR,10,1|33_145,1571420139,LOGIN
IOS,25,2|615_85,1571420289,LOGOUT
H5,22,2|2157,1571420439,LOGOUT
IOS_YY,13,1|1601,1571420679,LOGOUT
H5,2,0|2426,1571420769,LOGOUT
H5,4,0|2053,1571420949,LOGIN
H5,10,1|2403,1571421579,LOGIN
H5,1,0|1087,1571421729,LOGOUT
H5,1,0|2265,1571421759,LOGOUT
H5,23,2|950,1571421789,LOGIN
IOS_YY,13,1|1973,1571422089,LOGOUT
H5,4,0|2188,1571422239,LOGIN
IOS_YY,25,2|1078,1571422329,LOGOUT
H5,10,1|243,1571422539,LOGOUT
H5,10,1|243,1571422539,LOGOUT
IOS,0,0|1911,1571422659,LOGIN
H5,2,0|2702,1571422959,LOGOUT
H5,13,1|2630,1571423499,LOGOUT
H5,15,1|73,1571423529,LOGIN
IOS_YY,1,0|1706,1571423589,LOGOUT
IOS_YY,22,2|662,1571423979,LOGOUT
ADR,2,0|145,1571424009,LOGIN
IOS,14,1|2615,1571424219,LOGIN
H5,25,2|303,1571424249,LOGIN
IOS,1,0|2063,1571424339,LOGIN
ADR,25,2|464,1571424579,LOGIN
IOS,11,1|2403,1571425329,LOGOUT
IOS,13,1|1551,1571425449,LOGIN
IOS_YY,11,1|1036_138,1571425569,LOGOUT
ADR,24,2|2573,1571425689,LOGOUT
H5,3,0|1811,1571425749,LOGIN
IOS_YY,2,0|2818,1571425989,LOGIN
IOS,0,0|2291,1571426019,LOGOUT
H5,13,1|2562,1571426139,LOGIN
ADR,12,1|2615,1571426379,LOGIN
ADR,12,1|2615,1571426379,LOGIN
IOS_YY,22,2|1400_110,1571426829,LOGIN
H5,24,2|2711,1571426949,LOGOUT
IOS,12,1|1696,1571427759,LOGIN
ADR,3,0|1744,1571427849,LOGIN
H5,5,0|1052,1571427909,LOGOUT
IOS,21,2|1052,1571427909,LOGIN
IOS,20,2|278,1571427939,LOGIN
IOS,3,0|1377,1571428119,LOGOUT
IOS_YY,0,0|145,1571428149,LOGOUT
ADR,3,0|770,1571428329,LOGIN
H5,22,2|916,1571428389,LOGIN
IOS_YY,12,1|2190,1571428449,LOGOUT
IOS_YY,1,0|814,1571428569,LOGIN
IOS_YY,3,0|2009,1571428779,LOGIN
IOS,21,2|1778,1571429079,LOGOUT
IOS,4,0|796,1571429319,LOGIN
H5,5,0|1508,1571429679,LOGOUT
H5,12,1|431,1571429889,LOGIN
IOS,15,1|11,1571430549,LOGOUT
IOS,20,2|1252,1571430759,LOGIN
IOS,20,2|1252,1571430759,LOGIN
IOS,25,2|1807,1571431389,LOGIN
IOS,5,0|1063,1571431569,LOGOUT
IOS,5,0|1063,1571431569,LOGOUT
H5,10,1|113,1571432049,LOGOUT
ADR,3,0|1758,1571432259,LOGOUT
IOS,1,0|2232,1571432289,LOGIN
IOS,11,1|1785,1571432469,LOGIN
H5,13,1|555,1571432559,LOGOUT
IOS,5,0|318,1571432619,LOGOUT
IOS,5,0|318,1571432619,LOGOUT
ADR,15,1|1239,1571432799,LOGOUT
IOS_YY,10,1|753,1571434269,LOGOUT
ADR,23,2|2158,1571435259,LOGIN
IOS_YY,14,1|2662,1571435469,LOGIN
ADR,11,1|1536,1571435499,LOGOUT
IOS_YY,4,0|382,1571435529,LOGIN
IOS_YY,11,1|948,1571436099,LOGOUT
IOS_YY,22,2|486,1571436249,LOGIN
IOS,14,1|1637,1571436309,LOGOUT
ADR,14,1|70,1571436339,LOGOUT
IOS_YY,1,0|2125,1571436579,LOGIN
IOS_YY,12,1|526,1571436759,LOGOUT
IOS_YY,5,0|1832,1571436849,LOGIN
IOS,25,2|852,1571436909,LOGIN
IOS,24,2|1863,1571437059,LOGIN
ADR,14,1|2578,1571437209,LOGIN
IOS,20,2|1172,1571437389,LOGIN
IOS_YY,14,1|975,1571437419,LOGIN
IOS_YY,0,0|2741,1571437629,LOGIN
IOS_YY,5,0|1732,1571437659,LOGIN
IOS_YY,20,2|121,1571437839,LOGOUT
IOS,21,2|132,1571437989,LOGIN
IOS_YY,22,2|719_194,1571438049,LOGOUT
IOS,22,2|1115,1571438439,LOGIN
IOS_YY,5,0|679,1571438469,LOGOUT
H5,23,2|1138,1571438529,LOGOUT
ADR,5,0|697,1571438739,LOGOUT
IOS,13,1|38_266,1571438919,LOGIN
IOS,23,2|330,1571439039,LOGOUT
IOS,1,0|2783,1571439129,LOGOUT
IOS,22,2|1812,1571439189,LOGOUT
ADR,11,1|1232,1571439699,LOGOUT
ADR,22,2|773_92,1571439819,LOGOUT
IOS,4,0|773_92,1571439819,LOGIN
ADR,15,1|772,1571439909,LOGIN
H5,20,2|772,1571439909,LOGOUT
IOS,1,0|1514,1571440149,LOGIN
IOS,12,1|1671,1571440389,LOGIN
IOS,14,1|192,1571440479,LOGIN
H5,21,2|1175,1571440539,LOGOUT
IOS,4,0|2954,1571440629,LOGIN
ADR,1,0|1472_106,1571440659,LOGIN
ADR,23,2|690,1571440749,LOGIN
IOS,20,2|1721,1571440989,LOGIN
H5,21,2|573,1571441049,LOGIN
IOS_YY,20,2|2672,1571441229,LOGIN
ADR,10,1|2121,1571441319,LOGIN
IOS_YY,10,1|1308,1571441379,LOGIN
H5,5,0|2010,1571441469,LOGOUT
ADR,3,0|2741,1571441559,LOGIN
IOS,2,0|2618,1571441649,LOGIN
ADR,21,2|2071,1571441739,LOGOUT
IOS_YY,5,0|1993,1571441829,LOGOUT
IOS,21,2|2759,1571442009,LOGOUT
ADR,4,0|67,1571442249,LOGIN
IOS_YY,3,0|2607,1571442459,LOGIN
ADR,2,0|693,1571442489,LOGIN
ADR,2,0|693,1571442489,LOGIN
H5,24,2|2227,1571442579,LOGOUT
ADR,4,0|890,1571442669,LOGIN
IOS_YY,2,0|2533,1571442909,LOGOUT
H5,1,0|884,1571443149,LOGOUT
H5,24,2|141,1571443359,LOGIN
